Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:58060000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
58060000;1;01/03/2021;;1;1;16,34;6,053;7,479;7;28;1;1;1;;0;7,662;6,995;6,776;6,485;6,995;7,069;16,34;8,95;8,263;7,438;8,415;8,188;7,438;6,995;6,63;8,263;7,662;7,069;6,849;7,886;6,703;6,196;6,412;6,34;6,34;6,268;6,196;6,053;6,053;8,567;8,339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58060000;1;01/02/2021;;1;1;33,042;6,922;10,471;13;4;1;1;1;;0;7,961;7,587;7,216;6,922;11;25,041;10,76;9,336;8,415;8,95;7,811;9,829;33,042;14,906;11,858;9,181;8,95;8,797;11,609;8,95;8,644;8,339;7,736;7,216;8,037;8,491;8,567;8,037;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
58060000;1;01/01/2021;;1;1;20,051;7,142;11,822;13;31;1;1;1;0;0;10,406;19,406;15,188;12,749;10,173;9,943;17,383;18,148;14,627;11;16,34;14,351;20,051;17,232;16,487;13,141;11;10,058;9,716;9,336;9,336;9,104;8,567;7,736;7,587;8,339;8,188;7,961;8,339;7,438;7,142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58060000;1;01/12/2020;;1;1;20,541;5,769;9,698;13;4;1;1;1;;0;8,339;11;6,849;5,769;6,125;9,104;14,214;16,487;9,104;7,438;8,339;9,104;20,541;11,242;8,567;12,236;10,406;8,644;7,811;7,142;7,364;11,242;9,413;8,491;8,339;13,141;10,524;8,339;9,258;8,415;7,662;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58060000;1;01/11/2020;;1;1;17,687;4,657;6,877;1;9;1;1;1;;0;17,687;7,216;6,268;5,698;5,627;5,557;5,138;4,793;4,657;6,412;6,412;7,587;6,34;5,416;5,069;4,862;6,053;6,703;14,627;14,351;8,567;7,142;6,412;6,125;5,627;5,346;5,346;5,138;5,069;5,069;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58060000;1;01/10/2020;;1;1;16,783;3,335;4,63;31;1;1;1;1;;0;3,335;3,335;3,335;5,346;5,416;3,854;3,592;4,862;4,931;6,196;4,589;4,118;3,788;3,463;3,399;3,92;4,453;3,92;3,592;3,592;3,592;3,528;3,463;3,528;4,657;6,995;4,589;3,986;3,592;5,769;16,783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58060000;1;01/09/2020;;1;1;25,406;3,207;4,68;22;12;1;1;1;0;0;3,788;4,185;3,986;3,723;3,592;3,463;3,335;3,335;3,335;3,335;3,271;3,207;3,207;3,207;3,986;4,931;3,592;3,399;3,271;3,207;3,92;25,406;10,88;5,769;4,521;3,986;3,788;3,723;3,592;3,463;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58060000;1;01/08/2020;;1;1;11,733;3,592;4,557;22;14;1;1;1;;0;5,557;4,725;4,252;4,725;3,986;3,986;3,854;4,118;3,723;3,723;3,723;3,723;3,723;3,592;3,592;3,723;4,453;5,069;4,319;3,788;5,416;11,733;7,736;5,207;4,589;4,319;4,185;4,052;3,986;3,986;3,723;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58060000;1;01/07/2020;;1;1;10,76;3,854;4,548;31;29;1;1;1;;0;4,931;4,862;4,793;4,589;4,521;4,521;4,521;4,521;4,386;4,453;4,319;4,252;4,252;4,252;4,453;4,657;4,521;4,319;4,185;4,118;4,118;4,118;3,986;3,986;3,986;3,986;4,052;3,92;3,854;4,793;10,76;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58060000;1;01/06/2020;;1;1;8,491;4,521;5,284;29;24;1;1;1;;0;5,069;5,069;4,931;4,931;5,069;4,931;7,587;5,982;4,999;4,931;5,138;4,999;4,931;5,557;6,485;5,627;5,069;4,931;4,931;4,793;4,657;4,657;4,657;4,521;4,521;4,521;4,862;6,196;8,491;5,486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
