data;qmax
01/03/1956;441.395
01/04/1956;245.554
01/05/1956;232.667
01/06/1956;242.954
01/07/1956;138.094
01/08/1956;235.222
01/09/1956;144.322
01/10/1956;232.667
01/11/1956;202.914
01/12/1956;367.858
01/01/1957;612.364
01/02/1957;567.319
01/03/1957;618.284
01/04/1957;583.006
01/05/1957;240.365
01/06/1957;163.674
01/07/1957;140.158
01/08/1957;136.044
01/09/1957;277.638
01/10/1957;212.646
01/11/1957;266.764
01/12/1957;285.911
01/01/1958;475.069
01/02/1958;675.331
01/03/1958;645.127
01/04/1958;297.095
01/05/1958;302.754
01/06/1958;352.606
01/07/1958;193.371
01/08/1958;157.112
01/09/1958;217.581
01/10/1958;217.581
01/11/1958;261.394
01/12/1958;411.965
01/01/1959;552.69
01/02/1959;458.105
01/03/1959;499.242
01/04/1959;567.319
01/05/1959;200.511
01/06/1959;157.112
01/07/1959;125.981
01/08/1959;148.536
01/09/1959;112.432
01/10/1959;122.045
01/11/1959;202.914
01/12/1959;212.646
01/01/1960;367.858
01/02/1960;502.736
01/03/1960;597.633
01/04/1960;334.655
01/05/1960;227.592
01/06/1960;172.595
01/07/1960;188.67
01/08/1960;202.914
01/09/1960;170.346
01/10/1960;184.017
01/11/1960;314.202
01/12/1960;538.219
01/01/1961;636.143
01/02/1961;639.134
01/03/1961;696.707
01/04/1961;458.105
01/05/1961;322.903
01/06/1961;188.67
01/07/1961;170.346
01/08/1961;179.412
01/09/1961;172.595
01/10/1961;163.674
01/11/1961;177.128
01/12/1961;280.384
01/01/1962;567.319
01/02/1962;580.094
01/03/1962;538.219
01/04/1962;405.539
01/05/1962;232.667
01/06/1962;157.112
01/07/1962;163.674
01/08/1962;200.511
01/09/1962;210.195
01/10/1962;370.94
01/11/1962;337.62
01/12/1962;538.219
01/01/1963;444.717
01/02/1963;464.86
01/03/1963;428.212
01/04/1963;210.195
01/05/1963;148.536
01/06/1963;142.233
01/07/1963;157.112
01/08/1963;161.475
01/09/1963;140.158
01/10/1963;152.799
01/11/1963;227.592
01/12/1963;129.968
01/01/1964;322.903
01/02/1964;527.47
01/03/1964;294.283
01/04/1964;186.338
01/05/1964;212.646
01/06/1964;154.95
01/07/1964;188.67
01/08/1964;159.288
01/09/1964;144.322
01/10/1964;205.329
01/11/1964;181.709
01/12/1964;264.073
01/01/1965;520.353
01/02/1965;531.043
01/03/1965;431.493
01/04/1965;291.481
01/05/1965;280.384
01/06/1965;177.128
01/07/1965;210.195
01/08/1965;179.412
01/09/1965;186.338
01/10/1965;302.754
01/11/1965;383.375
01/12/1965;380.25
01/01/1966;733.79
01/02/1966;380.25
01/03/1966;666.228
01/04/1966;377.136
01/05/1966;277.638
01/06/1966;174.855
01/07/1966;174.855
01/08/1966;237.788
01/09/1966;195.739
01/10/1966;250.789
01/11/1966;549.058
01/12/1966;702.849
01/01/1967;825.628
01/02/1967;913.443
01/03/1967;947.482
01/04/1967;796.796
01/05/1967;358.675
01/06/1967;308.456
01/07/1967;269.466
01/08/1967;242.954
01/09/1967;269.466
01/10/1967;322.903
01/11/1967;374.406
01/12/1967;439.656
01/01/1968;401.885
01/02/1968;310.393
01/03/1968;389.581
01/04/1968;258.842
01/05/1968;203.69
01/06/1968;184.895
01/07/1968;191.862
01/08/1968;194.206
01/09/1968;213.344
01/10/1968;223.166
01/11/1968;187.206
01/12/1968;282.819
01/01/1969;269.399
01/02/1969;258.842
01/03/1969;304.801
01/04/1969;266.745
01/05/1969;171.255
01/06/1969;166.797
01/07/1969;145.181
01/08/1969;173.501
01/09/1969;143.083
01/10/1969;178.025
01/11/1969;321.693
01/12/1969;362.432
01/01/1970;430.296
01/02/1970;546.324
01/03/1970;530.188
01/04/1970;242.201
01/05/1970;192.432
01/06/1970;199.687
01/07/1970;171.137
01/08/1970;317.06
01/09/1970;284.276
01/10/1970;249.943
01/11/1970;273.578
01/12/1970;229.455
01/01/1971;229.455
01/02/1971;252.538
01/03/1971;370.994
01/04/1971;216.909
01/05/1971;182.88
01/06/1971;306.018
01/07/1971;214.424
01/08/1971;190.031
01/09/1971;173.468
01/10/1971;353.702
01/11/1971;270.922
01/12/1971;393.025
01/01/1972;279.414
01/02/1972;472.105
01/03/1972;402.651
01/04/1972;210.035
01/05/1972;176.979
01/06/1972;174.301
01/07/1972;187.263
01/08/1972;210.743
01/09/1972;179.541
01/10/1972;302.192
01/11/1972;342.057
01/12/1972;333.98
01/01/1973;480.768
01/02/1973;492.034
01/03/1973;314.289
01/04/1973;257.753
01/05/1973;265.632
01/06/1973;175.808
01/07/1973;190.031
01/08/1973;180.514
01/09/1973;150.575
01/10/1973;182.88
01/11/1973;202.122
01/12/1973;579.005
01/01/1974;415.237
01/02/1974;356.568
01/03/1974;732.526
01/04/1974;292.375
01/05/1974;166.503
01/06/1974;219.402
01/07/1974;190.031
01/08/1974;155.079
01/09/1974;135.114
01/10/1974;199.687
01/11/1974;192.432
01/12/1974;336.648
01/01/1975;284.276
01/02/1975;308.768
01/03/1975;303.276
01/04/1975;194.842
01/05/1975;192.432
01/06/1975;182.88
01/07/1975;135.114
01/08/1975;152.822
01/09/1975;161.906
01/10/1975;187.639
01/11/1975;536.626
01/12/1975;436.363
01/01/1976;331.017
01/02/1976;427.272
01/03/1976;457.785
01/04/1976;311.525
01/05/1976;353.702
01/06/1976;317.06
01/07/1976;511.009
01/08/1976;242.201
01/09/1976;319.837
01/10/1976;308.768
01/11/1976;397.369
01/12/1976;345.145
01/01/1977;495.182
01/02/1977;507.832
01/03/1977;295.09
01/04/1977;286.968
01/05/1977;194.842
01/06/1977;242.201
01/07/1977;185.255
01/08/1977;180.514
01/09/1977;224.413
01/10/1977;204.566
01/11/1977;308.768
01/12/1977;347.991
01/01/1978;379.728
01/02/1978;214.424
01/03/1978;457.785
01/04/1978;157.345
01/05/1978;221.903
01/06/1978;244.774
01/07/1978;194.842
01/08/1978;175.808
01/09/1978;166.503
01/10/1978;175.808
01/11/1978;303.276
01/12/1978;328.212
01/01/1979;353.702
01/02/1979;322.622
01/03/1979;276.241
01/04/1979;204.566
01/05/1979;216.909
01/06/1979;190.031
01/07/1979;194.842
01/08/1979;211.947
01/09/1979;185.255
01/10/1979;185.255
01/11/1979;376.811
01/12/1979;492.034
01/01/1980;385.583
01/02/1980;322.622
01/03/1980;
01/04/1980;
01/05/1980;
01/06/1980;
01/07/1980;
01/08/1980;
01/09/1980;
01/10/1980;
01/11/1980;
01/12/1980;
01/01/1981;
01/02/1981;
01/03/1981;
01/04/1981;
01/05/1981;
01/06/1981;
01/07/1981;
01/08/1981;
01/09/1981;
01/10/1981;
01/11/1981;
01/12/1981;
01/01/1982;
01/02/1982;
01/03/1982;
01/04/1982;
01/05/1982;
01/06/1982;
01/07/1982;
01/08/1982;
01/09/1982;
01/10/1982;
01/11/1982;
01/12/1982;
01/01/1983;
01/02/1983;
01/03/1983;
01/04/1983;
01/05/1983;
01/06/1983;
01/07/1983;
01/08/1983;
01/09/1983;
01/10/1983;
01/11/1983;
01/12/1983;
01/01/1984;
01/02/1984;
01/03/1984;
01/04/1984;
01/05/1984;
01/06/1984;
01/07/1984;
01/08/1984;
01/09/1984;
01/10/1984;
01/11/1984;
01/12/1984;
01/01/1985;
01/02/1985;
01/03/1985;
01/04/1985;
01/05/1985;
01/06/1985;
01/07/1985;
01/08/1985;
01/09/1985;
01/10/1985;
01/11/1985;
01/12/1985;
01/01/1986;
01/02/1986;
01/03/1986;
01/04/1986;
01/05/1986;
01/06/1986;
01/07/1986;
01/08/1986;
01/09/1986;
01/10/1986;
01/11/1986;
01/12/1986;
01/01/1987;
01/02/1987;
01/03/1987;
01/04/1987;
01/05/1987;
01/06/1987;
01/07/1987;
01/08/1987;
01/09/1987;
01/10/1987;
01/11/1987;
01/12/1987;
01/01/1988;
01/02/1988;
01/03/1988;591.687
01/04/1988;348.876
01/05/1988;330.081
01/06/1988;406.385
01/07/1988;216.802
01/08/1988;206.968
01/09/1988;187.563
01/10/1988;274.914
01/11/1988;295.706
01/12/1988;403.61
