dia	mes	ano	chuva
23	5	2022	0.0
22	5	2022	0.0
21	5	2022	0.0
20	5	2022	0.0
19	5	2022	0.0
18	5	2022	0.0
17	5	2022	0.0
16	5	2022	0.1
15	5	2022	0.8
14	5	2022	0.0
13	5	2022	0.0
12	5	2022	0.0
11	5	2022	0.0
10	5	2022	0.0
9	5	2022	0.0
8	5	2022	0.0
7	5	2022	0.0
6	5	2022	0.0
5	5	2022	0.0
4	5	2022	0.0
3	5	2022	0.0
2	5	2022	0.0
1	5	2022	0.0
30	4	2022	0.0
29	4	2022	0.0
28	4	2022	0.0
27	4	2022	0.0
26	4	2022	0.0
25	4	2022	0.3
24	4	2022	0.1
23	4	2022	0.0
22	4	2022	0.0
21	4	2022	0.0
20	4	2022	0.0
19	4	2022	0.0
18	4	2022	0.0
17	4	2022	0.0
16	4	2022	0.0
15	4	2022	0.0
14	4	2022	0.0
13	4	2022	0.0
12	4	2022	0.0
11	4	2022	0.0
10	4	2022	0.0
9	4	2022	0.0
8	4	2022	0.0
7	4	2022	0.0
6	4	2022	0.0
5	4	2022	0.0
4	4	2022	0.0
3	4	2022	0.0
2	4	2022	0.0
1	4	2022	0.0
31	3	2022	0.0
30	3	2022	0.0
29	3	2022	0.0
28	3	2022	0.0
27	3	2022	0.0
26	3	2022	0.0
25	3	2022	0.0
24	3	2022	0.0
23	3	2022	0.0
22	3	2022	0.0
21	3	2022	0.0
20	3	2022	0.0
19	3	2022	0.0
18	3	2022	0.0
17	3	2022	0.0
16	3	2022	0.0
15	3	2022	0.0
14	3	2022	0.0
13	3	2022	0.0
12	3	2022	0.0
11	3	2022	0.0
10	3	2022	0.0
9	3	2022	0.0
8	3	2022	0.0
7	3	2022	0.0
6	3	2022	0.0
5	3	2022	0.0
4	3	2022	0.0
3	3	2022	0.0
2	3	2022	0.0
1	3	2022	0.0
28	2	2022	0.0
27	2	2022	0.0
26	2	2022	0.0
25	2	2022	0.0
24	2	2022	0.0
23	2	2022	0.0
22	2	2022	0.0
21	2	2022	1.1
20	2	2022	38.3
19	2	2022	12.5
18	2	2022	10.0
17	2	2022	8.1
16	2	2022	0.0
15	2	2022	0.0
14	2	2022	6.0
13	2	2022	0.0
12	2	2022	0.0
11	2	2022	1.8
10	2	2022	0.8
9	2	2022	5.2
8	2	2022	9.8
7	2	2022	0.0
6	2	2022	10.1
5	2	2022	0.0
4	2	2022	0.0
3	2	2022	0.0
2	2	2022	0.1
1	2	2022	43.6
31	1	2022	11.1
30	1	2022	14.5
29	1	2022	0.5
28	1	2022	0.0
27	1	2022	26.0
26	1	2022	0.0
25	1	2022	0.0
24	1	2022	0.0
23	1	2022	0.0
22	1	2022	0.0
21	1	2022	0.0
20	1	2022	0.0
19	1	2022	0.0
18	1	2022	0.0
17	1	2022	0.0
16	1	2022	0.0
15	1	2022	0.0
14	1	2022	0.0
13	1	2022	0.0
12	1	2022	0.0
11	1	2022	0.0
10	1	2022	2.3
9	1	2022	20.8
8	1	2022	29.9
7	1	2022	10.0
6	1	2022	0.2
5	1	2022	2.1
4	1	2022	20.3
3	1	2022	0.3
2	1	2022	0.0
1	1	2022	0.0
31	12	2021	0.0
30	12	2021	0.3
29	12	2021	0.0
28	12	2021	132.0
27	12	2021	5.7
26	12	2021	10.1
25	12	2021	5.8
24	12	2021	39.0
23	12	2021	7.1
22	12	2021	26.6
21	12	2021	10.8
20	12	2021	105.3
19	12	2021	83.1
18	12	2021	0.0
17	12	2021	0.0
16	12	2021	0.0
15	12	2021	0.0
14	12	2021	0.0
13	12	2021	0.1
12	12	2021	20.6
11	12	2021	0.3
10	12	2021	0.2
9	12	2021	47.8
8	12	2021	43.6
7	12	2021	7.8
6	12	2021	0.0
5	12	2021	0.0
4	12	2021	9.9
3	12	2021	1.9
2	12	2021	0.0
1	12	2021	1.3
30	11	2021	0.2
29	11	2021	1.1
28	11	2021	38.9
27	11	2021	0.0
26	11	2021	0.0
25	11	2021	0.0
24	11	2021	0.0
23	11	2021	0.0
22	11	2021	1.7
