iter	Passed	Remaining
404	8930	13120
405	8951	13097
406	8972	13072
407	8995	13051
408	9020	13034
409	9045	13017
410	9069	12997
411	9090	12974
412	9110	12949
413	9131	12925
414	9153	12902
415	9175	12880
416	9194	12855
417	9214	12829
418	9235	12806
419	9261	12789
420	9290	12776
421	9315	12759
422	9338	12737
423	9390	12756
424	9411	12732
425	9431	12708
426	9451	12682
427	9475	12663
428	9499	12643
429	9520	12619
430	9539	12594
431	9560	12569
432	9581	12546
433	9602	12523
434	9622	12497
435	9641	12472
436	9662	12447
437	9687	12430
438	9713	12412
439	9737	12392
440	9756	12367
441	9779	12345
442	9800	12322
443	9821	12298
444	9841	12273
445	9862	12250
446	9885	12229
447	9908	12209
448	9934	12191
449	9957	12170
450	9982	12151
451	10005	12130
452	10026	12107
453	10047	12084
454	10068	12059
455	10092	12039
456	10116	12020
457	10142	12002
458	10164	11980
459	10229	12008
460	10251	11986
461	10275	11966
462	10302	11949
463	10331	11934
464	10354	11913
465	10374	11888
466	10395	11865
467	10416	11840
468	10435	11815
469	10455	11790
470	10475	11765
471	10497	11742
472	10522	11724
473	10546	11703
474	10566	11679
475	10589	11656
476	10611	11634
477	10633	11612
478	10654	11588
479	10675	11564
480	10695	11540
481	10717	11517
482	10741	11498
483	10766	11478
484	10786	11453
485	10808	11431
486	10828	11406
487	10848	11381
488	10867	11356
489	10887	11331
490	10907	11307
491	10928	11283
492	10951	11262
493	10976	11242
494	11001	11223
495	11025	11203
496	11048	11181
497	11070	11159
498	11092	11137
499	11115	11115
500	11136	11092
501	11157	11068
502	11182	11048
503	11209	11031
504	11231	11008
505	11253	10986
506	11276	10965
507	11298	10942
508	11321	10921
509	11341	10897
510	11361	10872
511	11385	10851
512	11411	10832
513	11435	10812
514	11459	10791
515	11485	10772
516	11511	10754
517	11536	10734
518	11559	10712
519	11585	10694
520	11611	10675
521	11638	10657
522	11660	10634
523	11711	10638
524	11733	10616
525	11757	10594
526	11779	10572
527	11802	10550
528	11829	10532
529	11857	10514
530	11880	10493
531	11901	10470
532	11921	10445
533	11942	10421
534	11962	10396
535	11984	10374
536	12005	10351
537	12030	10330
538	12054	10309
539	12080	10290
540	12104	10269
541	12130	10250
542	12155	10230
543	12178	10208
544	12203	10188
545	12233	10172
546	12273	10164
547	12325	10166
548	12349	10144
549	12369	10120
550	12387	10094
551	12405	10068
552	12425	10043
553	12444	10018
554	12465	9994
555	12490	9974
556	12512	9951
557	12534	9928
558	12559	9908
559	12584	9887
560	12609	9867
561	12631	9844
562	12653	9821
563	12674	9798
564	12695	9774
565	12717	9751
566	12740	9729
567	12761	9706
568	12781	9681
569	12800	9656
570	12819	9631
571	12837	9606
572	12856	9581
573	12878	9558
574	12901	9535
575	12927	9515
