Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02143020


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2143020;1;01/09/2021;1;43,7;96,5;26;5;1;1;1;;0;22,2;0,0;1,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;43,7;0,0;0,0;0,0;14,5;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2143020;1;01/08/2021;1;36,6;85,1;17;4;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,1;0,0;36,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,7;29,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2143020;1;01/07/2021;1;0,0;0,0;1;0;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2143020;1;01/06/2021;1;5,3;5,3;1;1;1;1;1;;0;5,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2143020;1;01/05/2021;1;4,0;4,9;17;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2143020;1;01/04/2021;1;46,0;107,2;19;6;1;1;1;;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;4,7;0,0;0,0;0,0;0,0;7,5;0,0;0,0;0,0;0,0;0,0;46,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,9;42,1;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2143020;1;01/03/2021;1;35,2;116,5;12;8;1;1;1;;0;0,7;0,0;0,0;0,0;0,0;0,0;9,0;3,0;18,5;0,0;0,0;35,2;0,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,9;0,0;27,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2143020;1;01/02/2021;1;45,5;291,8;18;14;1;1;1;;0;0,0;0,0;0,0;0,0;4,9;16,0;43,4;23,4;43,8;0,0;26,4;4,2;0,0;17,9;0,0;0,0;0,0;45,5;4,9;0,0;24,5;30,5;2,7;0,0;0,0;0,0;3,7;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
2143020;1;01/01/2021;1;44,5;179,5;10;8;1;1;1;;0;0,0;0,0;11,9;40,0;14,5;0,0;10,4;11,1;15,4;44,5;0,0;0,0;31,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2143020;1;01/12/2020;1;46,3;408,4;3;17;1;1;1;;0;11,9;44,9;46,3;11,7;22,3;25,1;13,1;39,6;37,6;0,0;0,0;21,6;0,0;14,4;0,0;0,0;0,0;23,8;2,3;0,0;0,0;0,0;0,0;20,0;26,7;20,0;27,1;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2143020;1;01/11/2020;1;47,2;215,9;10;12;1;1;1;;0;0,0;0,0;0,0;42,2;4,6;0,0;0,0;0,0;0,0;47,2;0,0;26,5;9,7;0,0;16,7;18,2;0,0;20,0;14,4;0,0;0,0;0,0;10,2;2,2;0,0;4,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2143020;1;01/10/2020;1;41,7;314,4;4;16;1;1;1;;0;0,0;40,6;19,3;41,7;18,1;0,0;0,0;22,9;0,0;19,7;41,5;22,5;0,0;0,0;0,0;8,2;0,0;4,7;14,5;38,1;3,9;0,0;0,0;0,0;0,0;0,0;6,2;7,5;5,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2143020;1;01/09/2020;1;12,0;33,1;21;3;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,0;10,0;11,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2143020;1;01/08/2020;1;4,7;5,7;22;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;4,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2143020;1;01/07/2020;1;1,1;2,1;31;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2143020;1;01/06/2020;1;24,5;24,5;16;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;24,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2143020;1;01/05/2020;1;11,0;20,7;7;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;11,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2143020;1;01/04/2020;1;25,5;54,1;1;4;1;1;1;;0;25,5;0,0;0,0;4,1;0,0;0,0;0,0;0,0;0,0;0,0;22,0;2,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2143020;1;01/03/2020;1;29,9;149,4;22;10;1;1;1;;0;11,3;28,4;23,5;3,0;10,3;0,0;0,0;0,0;10,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,0;0,0;0,0;0,0;0,0;29,9;0,0;0,0;0,0;15,4;0,0;0,0;0,0;0,0;5,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2143020;1;01/02/2020;1;48,5;305,1;13;20;1;1;1;;0;0,0;2,6;17,0;22,7;0,0;21,5;13,5;19,5;3,0;0,0;6,1;2,0;48,5;2,3;0,0;5,2;2,5;0,0;0,0;0,0;1,7;12,1;0,0;5,7;10,0;0,0;42,3;46,9;20,0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
2143020;1;01/01/2020;1;45,0;315,7;6;14;1;1;1;;0;0,0;0,0;20,0;25,7;35,9;45,0;5,9;35,6;12,9;0,0;7,7;0,0;0,0;0,0;0,0;0,0;14,3;0,0;0,0;0,0;0,0;8,7;0,0;4,8;40,0;0,0;0,0;41,3;0,0;0,0;17,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2143020;1;01/12/2019;1;45,9;261,9;24;13;1;1;1;;0;0,0;26,9;0,0;0,6;0,0;0,0;19,3;0,0;0,6;0,0;25,4;29,9;0,0;0,0;0,0;0,0;0,0;0,0;22,0;26,1;5,9;20,0;25,0;45,9;0,0;14,3;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
