data	chuva	nivel	vazao
2013-01-01	0.0	107.48750000000001	49.475
2013-01-02	0.0	104.66071428571429	46.957142857142856
2013-01-03	0.0	104.34895833333333	46.721875000000004
2013-01-04	0.0	106.89479166666666	49.18333333333334
2013-01-05	0.0	107.53333333333335	49.78020833333334
2013-01-06	0.0	107.51041666666667	49.678125
2013-01-07	0.0	104.67291666666667	46.93645833333333
2013-01-08	0.0	107.59166666666665	49.87916666666667
2013-01-09	0.0	105.14270833333335	47.48333333333334
2013-01-10	0.0	104.62083333333334	46.854166666666664
2013-01-11	0.0	111.05208333333333	53.37604166666667
2013-01-12	0.2	136.35729166666667	81.59791666666668
2013-01-13	0.0	166.48229166666667	120.97083333333335
2013-01-14	0.0	151.75	100.36562500000001
2013-01-15	0.0	135.08958333333334	79.56875000000001
2013-01-16	0.0	122.51666666666667	65.22916666666667
2013-01-17	0.0	118.23854166666666	60.49583333333334
2013-01-18	0.0	158.01354166666667	108.98854166666666
2013-01-19	0.0	173.78437499999998	131.88020833333334
2013-01-20	0.2	160.04166666666666	111.70104166666665
2013-01-21	0.0	157.071875	107.49583333333334
2013-01-22	0.2	162.49687500000002	115.10833333333333
2013-01-23	0.0	150.58229166666666	98.84270833333333
2013-01-24	0.0	136.33229166666666	80.79166666666667
2013-01-25	0.2	125.23541666666667	68.29166666666667
2013-01-26	0.0	119.08020833333335	61.840624999999996
2013-01-27	0.2	133.68854166666668	78.20208333333333
2013-01-28	0.2	168.67083333333332	124.11562500000001
2013-01-29	0.0	188.72083333333333	155.75625
2013-01-30	0.2	191.29999999999998	159.96041666666667
2013-01-31	0.2	191.20520833333333	159.73333333333332
2013-02-01	44.6	216.74891304347827	206.91630434782607
2013-02-02	0.2	219.81354166666665	211.79375000000002
2013-02-03	0.0	186.21041666666667	151.77291666666667
2013-02-04	2.6	175.41875000000002	134.31354166666668
2013-02-05	1.2000000000000002	190.68645833333335	159.06979166666667
2013-02-06	51.4	173.86458333333334	131.859375
2013-02-07	0.0	215.946875	204.33124999999998
2013-02-08	0.0	208.6760416666667	190.1364583333333
2013-02-09	0.0	179.67395833333333	141.34895833333334
2013-02-10	0.0	153.296875	102.45625
2013-02-11	0.0	140.5625	85.94895833333334
2013-02-12	0.0	136.32291666666666	80.81666666666668
2013-02-13	0.0	131.37083333333334	74.890625
2013-02-14	0.0	127.83749999999999	70.81770833333333
2013-02-15	0.0	126.00416666666666	69.02083333333333
2013-02-16	0.0	122.109375	64.81041666666667
2013-02-17	0.0	120.74062500000001	63.4625
2013-02-18	0.0	115.59166666666665	57.67395833333333
2013-02-19	0.0	118.46979166666667	61.03958333333333
2013-02-20	0.0	116.0	58.572916666666664
2013-02-21	0.0	110.70520833333335	52.854166666666664
2013-02-22	0.0	113.76145833333334	56.39791666666667
2013-02-23	0.0	101.27083333333333	43.796875
2013-02-24	0.0	101.24583333333334	43.928125
2013-02-25	0.0	101.4375	43.99375
2013-02-26	0.0	101.421875	44.003125000000004
2013-02-27	4.2	101.42604166666666	44.059374999999996
2013-02-28	0.4	101.27916666666665	43.928125
2013-03-01	0.0	101.79565217391306	44.44130434782608
2013-03-02	0.2	101.81458333333335	44.303125
2013-03-03	0.0	101.484375	44.06875
2013-03-04	0.2	101.40833333333335	44.012499999999996
2013-03-05	0.0	101.24374999999999	43.815625000000004
2013-03-06	0.0	100.99062500000001	43.646875
2013-03-07	0.2	101.07187499999999	43.731249999999996
2013-03-08	0.0	101.11041666666667	43.778124999999996
2013-03-09	0.0	101.015625	43.703125
2013-03-10	0.0	101.19166666666666	43.834375
2013-03-11	0.0	101.07604166666665	43.721875000000004
2013-03-12	0.0	101.13052631578947	43.68526315789474
2013-03-13	0.2	100.77708333333334	43.384375000000006
2013-03-14	0.0	126.35416666666667	73.69270833333333
2013-03-15	0.0	168.74166666666667	124.09375
2013-03-16	0.0	166.12604166666668	120.25
2013-03-17	0.0	161.90416666666667	114.32708333333333
2013-03-18	0.2	162.16979166666667	114.58020833333335
2013-03-19	0.0	162.39270833333333	115.04374999999999
2013-03-20	0.0	162.21875	114.66875
2013-03-21	0.0	162.24479166666666	114.69166666666666
2013-03-22	0.0	162.18988764044943	114.68876404494381
2013-03-23	0.0	161.86770833333333	114.28541666666666
2013-03-24	0.0	162.146875	114.78750000000001
2013-03-25	0.0	162.18541666666667	114.8
2013-03-26	0.0	162.18958333333333	114.78333333333335
2013-03-27	0.0	162.21666666666667	114.76249999999999
2013-03-28	0.2	162.47604166666667	115.003125
2013-03-29	0.0	162.54583333333332	115.26770833333332
2013-03-30	0.0	162.771875	115.39375
2013-03-31	0.2	162.93333333333334	115.62604166666667
2013-04-01	0.0	162.53958333333333	115.13125000000001
2013-04-02	0.0	162.40104166666666	115.01041666666667
2013-04-03	0.0	162.24687500000002	114.84583333333335
2013-04-04	0.2	162.22395833333334	114.88437499999999
2013-04-05	0.0	162.36736842105262	115.02736842105263
2013-04-06	0.0	162.1875	114.78541666666666
2013-04-07	0.0	162.27395833333333	114.78958333333333
2013-04-08	0.2	162.48125000000002	115.175
2013-04-09	0.0	162.57916666666668	115.2375
2013-04-10	0.2	163.81612903225806	117.33870967741936
2013-04-11	0.0	189.78095238095239	157.1
2013-04-12	0.0	181.18645833333335	143.18333333333334
2013-04-13	0.2	180.81458333333333	142.63333333333335
2013-04-14	0.0	180.65625	142.40104166666666
2013-04-15	0.0	181.2229166666667	143.05
2013-04-16	0.2	180.98958333333334	142.73333333333335
2013-04-17	0.0	180.83854166666666	142.61666666666667
