data	t_cv_56337500	t_ct_56337500	t_vz_56337500
2016-10-17	0.0	137.84615384615384	16.792307692307695
2016-10-18	0.0	137.45833333333334	16.470833333333335
2016-10-19	0.0	136.41666666666666	15.633333333333333
2016-10-20	0.0	135.41666666666666	14.858333333333334
2016-10-21	0.0	133.16666666666666	13.154166666666667
2016-10-22	1.6	133.83333333333334	13.654166666666667
2016-10-23	0.0	136.04166666666666	15.358333333333334
2016-10-24	0.0	136.70833333333334	15.870833333333332
2016-10-25	0.0	135.125	14.641666666666667
2016-10-26	0.0	133.33333333333334	13.275
2016-10-27	3.0	133.04166666666666	13.0625
2016-10-28	7.0	132.04166666666666	12.3375
2016-10-29	1.2	131.58333333333334	12.008333333333333
2016-10-30	0.0	132.125	12.387500000000001
2016-10-31	0.0	131.41666666666666	11.891666666666666
2016-11-01	0.0	131.83333333333334	12.183333333333332
2016-11-02	0.0	132.95833333333334	13.012500000000001
2016-11-03	0.0	132.41666666666666	12.604166666666666
2016-11-04	0.0	132.125	12.391666666666667
2016-11-05	4.7	132.04166666666666	12.329166666666666
2016-11-06	0.0	131.75	12.129166666666668
2016-11-07	0.0	131.04166666666666	11.629166666666668
2016-11-08	0.3	131.33333333333334	11.8375
2016-11-09	0.0	138.5	17.366666666666667
2016-11-10	7.2	137.70833333333334	16.683333333333334
2016-11-11	0.0	137.125	16.2
2016-11-12	0.0	134.25	13.970833333333333
2016-11-13	7.8	140.20833333333334	18.941666666666666
2016-11-14	35.199999999999996	157.625	37.800000000000004
2016-11-15	31.1	212.58333333333334	122.80000000000001
2016-11-16	8.1	183.625	72.60833333333333
2016-11-17	0.0	152.70833333333334	31.208333333333332
2016-11-18	5.6	145.08333333333334	23.208333333333332
2016-11-19	3.0999999999999996	145.33333333333334	23.483333333333334
2016-11-20	0.0	147.875	25.90416666666667
2016-11-21	0.0	144.29166666666666	22.508333333333336
2016-11-22	6.0	139.83333333333334	18.479166666666668
2016-11-23	37.1	164.08333333333334	46.28333333333333
2016-11-24	0.0	185.33333333333334	74.425
2016-11-25	0.0	164.0	44.57083333333333
2016-11-26	0.0	167.33333333333334	49.07916666666667
2016-11-27	0.0	151.29166666666666	29.458333333333332
2016-11-28	0.0	144.66666666666666	22.84166666666667
2016-11-29	0.8	142.16666666666666	20.55
2016-11-30	75.5	208.33333333333334	114.32173913043479
2016-12-01	1.9	196.125	93.22916666666667
2016-12-02	0.5	165.125	45.5
2016-12-03	0.6	157.91666666666666	36.7375
2016-12-04	32.7	157.625	36.391666666666666
2016-12-05	54.0	180.04166666666666	67.45
2016-12-06	0.0	214.04166666666666	125.03750000000001
2016-12-07	0.0	175.83333333333334	60.637499999999996
2016-12-08	0.0	160.0	39.15
2016-12-09	1.9000000000000001	162.95833333333334	43.4625
2016-12-10	9.3	190.5	85.62916666666666
2016-12-11	39.3	226.04166666666666	149.65416666666667
2016-12-12	10.100000000000001	197.95833333333334	95.68333333333334
2016-12-13	0.8	191.16666666666666	85.47083333333335
2016-12-14	40.6	220.83333333333334	139.13333333333335
2016-12-15	89.5	253.375	186.82777777777778
2016-12-16	0.3	262.4583333333333	229.79090909090908
2016-12-17	0.0	218.95833333333334	135.07916666666668
2016-12-18	2.3	199.75	98.02083333333333
2016-12-19	0.0	188.20833333333334	78.62083333333334
2016-12-20	0.0	174.70833333333334	58.333333333333336
2016-12-21	0.0	174.20833333333334	57.52916666666667
2016-12-22	0.0	165.45833333333334	46.06666666666666
2016-12-23	0.0	163.16666666666666	43.22083333333333
2016-12-24	0.0	160.375	39.72083333333333
2016-12-25	1.8	159.83333333333334	39.05416666666667
2016-12-26	0.0	166.29166666666666	46.92916666666667
2016-12-27	0.0	164.625	44.81666666666666
2016-12-28	0.0	154.66666666666666	33.06666666666667
2016-12-29	0.0	155.95833333333334	34.475
2016-12-30	0.0	152.70833333333334	30.90833333333333
2016-12-31	0.0	151.625	29.766666666666666
2017-01-01	0.0	144.91666666666666	23.162499999999998
2017-01-02	0.0	139.41666666666666	18.133333333333333
2017-01-03	0.0	143.16666666666666	21.662499999999998
2017-01-04	0.0	140.33333333333334	19.066666666666666
2017-01-05	0.0	132.58333333333334	12.745833333333332
2017-01-06	0.0	130.16666666666666	11.016666666666666
2017-01-07	0.0	128.08333333333334	9.629166666666666
2017-01-08	0.0	127.5	9.25
2017-01-09	0.0	127.79166666666667	9.441666666666666
2017-01-10	10.3	134.0	13.920833333333334
2017-01-11	2.6	144.25	22.662499999999998
2017-01-12	15.8	145.29166666666666	23.395833333333332
2017-01-13	1.4	161.04166666666666	42.050000000000004
2017-01-14	10.1	177.5	63.23333333333333
2017-01-15	12.6	176.29166666666666	61.112500000000004
2017-01-16	0.0	170.0	52.4
2017-01-17	0.0	155.86363636363637	34.50909090909091
2017-01-18	0.0	145.9	23.995
2017-01-19	0.0	141.91304347826087	20.321739130434782
2017-01-20	0.0	139.0909090909091	17.83636363636364
2017-01-21	0.0	135.33333333333334	14.808333333333335
2017-01-22	0.0	131.5	11.950000000000001
2017-01-23	0.0	129.54166666666666	10.579166666666667
2017-01-24	0.0	128.625	9.970833333333333
2017-01-25	0.0	128.0	9.583333333333334
2017-01-26	0.0	127.04166666666667	8.929166666666667
2017-01-27	0.0	126.66666666666667	8.700000000000001
2017-01-28	0.0	125.79166666666667	8.175
2017-01-29	5.0	125.54166666666667	8.025
2017-01-30	13.1	130.04166666666666	10.970833333333333
2017-01-31	0.0	130.95833333333334	11.604166666666666
2017-02-01	0.0	126.75	8.75
2017-02-02	1.0	126.66666666666667	8.700000000000001
