dia	mes	ano	vazao
28	5	2022	759.283
27	5	2022	760.888
26	5	2022	780.248
25	5	2022	817.866
24	5	2022	821.169
23	5	2022	824.477
22	5	2022	826.132
21	5	2022	829.448
20	5	2022	832.768
19	5	2022	829.448
18	5	2022	831.107
17	5	2022	829.448
16	5	2022	827.789
15	5	2022	829.448
14	5	2022	854.472
13	5	2022	879.776
12	5	2022	903.645
11	5	2022	924.295
10	5	2022	878.081
9	5	2022	859.51
8	5	2022	864.56
7	5	2022	869.621
6	5	2022	881.473
5	5	2022	901.932
4	5	2022	920.841
3	5	2022	934.687
2	5	2022	936.423
1	5	2022	938.16
30	4	2022	939.899
29	4	2022	943.38
28	4	2022	945.122
27	4	2022	945.122
26	4	2022	952.103
25	4	2022	955.601
24	4	2022	959.103
23	4	2022	959.103
22	4	2022	927.754
21	4	2022	924.295
20	4	2022	957.351
19	4	2022	973.162
18	4	2022	987.299
17	4	2022	1001.512
16	4	2022	1019.386
15	4	2022	1008.647
14	4	2022	1021.18
13	4	2022	1005.077
12	4	2022	992.62
11	4	2022	996.173
10	4	2022	999.731
9	4	2022	1035.575
8	4	2022	957.351
7	4	2022	841.091
6	4	2022	837.758
5	4	2022	842.759
4	4	2022	846.099
3	4	2022	826.132
2	4	2022	822.822
1	4	2022	866.246
31	3	2022	881.473
30	3	2022	891.68
29	3	2022	901.932
28	3	2022	910.509
27	3	2022	917.392
26	3	2022	920.841
25	3	2022	938.16
24	3	2022	952.103
23	3	2022	971.401
22	3	2022	1019.386
21	3	2022	1021.18
20	3	2022	1116.1
19	3	2022	1187.464
18	3	2022	1193.168
17	3	2022	1200.791
16	3	2022	1210.345
15	3	2022	1216.092
14	3	2022	1218.009
13	3	2022	1231.465
12	3	2022	1250.785
11	3	2022	1283.888
10	3	2022	1359.059
9	3	2022	1510.036
8	3	2022	1664.209
7	3	2022	1861.791
6	3	2022	2295.136
5	3	2022	2741.079
4	3	2022	2880.709
3	3	2022	3037.722
2	3	2022	3262.103
1	3	2022	3606.096
28	2	2022	4090.526
27	2	2022	4524.738
26	2	2022	4975.536
25	2	2022	5245.636
24	2	2022	5414.912
23	2	2022	5410.31
22	2	2022	5300.311
21	2	2022	5173.075
20	2	2022	4979.993
19	2	2022	4776.569
18	2	2022	4780.957
17	2	2022	4842.546
16	2	2022	4763.416
15	2	2022	4610.986
14	2	2022	4469.012
13	2	2022	4405.042
12	2	2022	4206.901
11	2	2022	3918.32
10	2	2022	3861.55
9	2	2022	3910.19
8	2	2022	4069.877
7	2	2022	3669.331
6	2	2022	3085.817
5	2	2022	3067.285
4	2	2022	2949.693
3	2	2022	2971.607
2	2	2022	3220.509
1	2	2022	3380.42
31	1	2022	3426.652
30	1	2022	3488.669
29	1	2022	3602.158
28	1	2022	3725.006
27	1	2022	3902.067
26	1	2022	4102.935
25	1	2022	4303.427
24	1	2022	4511.854
23	1	2022	4671.729
22	1	2022	4833.729
21	1	2022	5024.645
20	1	2022	5336.88
19	1	2022	5465.633
18	1	2022	5341.458
17	1	2022	5164.032
16	1	2022	5024.645
15	1	2022	5082.919
14	1	2022	5323.155
13	1	2022	5327.729
12	1	2022	4824.918
11	1	2022	4257.158
10	1	2022	4069.877
9	1	2022	3821.194
8	1	2022	3300.093
7	1	2022	3037.722
6	1	2022	2982.588
5	1	2022	2562.525
4	1	2022	2497.188
3	1	2022	2510.889
2	1	2022	1995.042
1	1	2022	1635.017
31	12	2021	1437.879
30	12	2021	1229.54
29	12	2021	1206.52
28	12	2021	1256.603
27	12	2021	1278.023
26	12	2021	1258.544
25	12	2021	1381.12
24	12	2021	1493.425
23	12	2021	1744.011
22	12	2021	2144.69
21	12	2021	2183.56
20	12	2021	1532.988
19	12	2021	1419.541
18	12	2021	1401.292
17	12	2021	1116.1
16	12	2021	1159.094
15	12	2021	1012.222
14	12	2021	829.448
13	12	2021	917.392
12	12	2021	1017.593
11	12	2021	1064.593
10	12	2021	1144.07
9	12	2021	1225.692
8	12	2021	929.485
7	12	2021	725.875
6	12	2021	713.298
5	12	2021	772.159
4	12	2021	851.119
3	12	2021	854.472
2	12	2021	926.024
1	12	2021	1031.969
30	11	2021	1099.444
29	11	2021	864.56
28	11	2021	822.822
27	11	2021	952.103
26	11	2021	1145.944
25	11	2021	1357.061
24	11	2021	1608.913
23	11	2021	1702.453
22	11	2021	1281.932
21	11	2021	1010.434
20	11	2021	946.865
19	11	2021	869.621
18	11	2021	884.871
17	11	2021	945.122
16	11	2021	1014.011
15	11	2021	1170.411
14	11	2021	1177.978
13	11	2021	837.758
12	11	2021	730.613
11	11	2021	730.613
10	11	2021	748.084
9	11	2021	759.283
8	11	2021	829.448
7	11	2021	884.871
6	11	2021	905.359
5	11	2021	824.477
4	11	2021	647.133
3	11	2021	568.979
2	11	2021	537.665
1	11	2021	564.67
31	10	2021	593.632
30	10	2021	606.844
29	10	2021	627.612
28	10	2021	659.258
27	10	2021	685.305
26	10	2021	719.576
25	10	2021	768.932
24	10	2021	736.948
23	10	2021	677.605
22	10	2021	696.141
21	10	2021	645.624
20	10	2021	602.428
19	10	2021	605.37
18	10	2021	641.103
17	10	2021	662.303
16	10	2021	668.408
15	10	2021	596.559
14	10	2021	547.556
13	10	2021	558.943
12	10	2021	487.885
11	10	2021	511.164
10	10	2021	556.088
9	10	2021	639.599
8	10	2021	721.149
7	10	2021	699.249
6	10	2021	624.629
5	10	2021	564.67
4	10	2021	624.629
3	10	2021	696.141
2	10	2021	703.92
1	10	2021	703.92
30	9	2021	700.805
29	9	2021	639.599
28	9	2021	567.541
27	9	2021	624.629
26	9	2021	699.249
25	9	2021	697.694
24	9	2021	696.141
23	9	2021	688.394
22	9	2021	611.272
21	9	2021	564.67
20	9	2021	630.601
19	9	2021	679.142
18	9	2021	682.221
17	9	2021	668.408
16	9	2021	651.67
15	9	2021	602.428
14	9	2021	571.859
13	9	2021	621.652
12	9	2021	694.589
11	9	2021	685.305
10	9	2021	618.679
9	9	2021	593.632
8	9	2021	617.195
7	9	2021	563.236
6	9	2021	642.608
5	9	2021	679.142
4	9	2021	568.979
3	9	2021	461.026
2	9	2021	459.698
1	9	2021	458.371
31	8	2021	459.698
30	8	2021	458.371
29	8	2021	461.026
28	8	2021	463.686
27	8	2021	466.351
26	8	2021	469.023
25	8	2021	465.018
24	8	2021	461.026
23	8	2021	463.686
22	8	2021	463.686
21	8	2021	465.018
20	8	2021	469.023
19	8	2021	470.361
18	8	2021	470.361
17	8	2021	470.361
16	8	2021	471.7
15	8	2021	470.361
14	8	2021	469.023
13	8	2021	469.023
12	8	2021	470.361
11	8	2021	470.361
10	8	2021	470.361
9	8	2021	469.023
8	8	2021	465.018
7	8	2021	465.018
6	8	2021	463.686
5	8	2021	463.686
4	8	2021	465.018
3	8	2021	470.361
2	8	2021	474.383
1	8	2021	474.383
31	7	2021	475.727
30	7	2021	477.072
29	7	2021	477.072
28	7	2021	477.072
27	7	2021	477.072
26	7	2021	474.383
25	7	2021	477.072
24	7	2021	477.072
23	7	2021	479.767
22	7	2021	479.767
21	7	2021	479.767
20	7	2021	478.419
19	7	2021	482.467
18	7	2021	478.419
17	7	2021	474.383
16	7	2021	475.727
15	7	2021	481.116
14	7	2021	487.885
13	7	2021	486.528
12	7	2021	479.767
11	7	2021	477.072
10	7	2021	477.072
9	7	2021	477.072
8	7	2021	479.767
7	7	2021	479.767
6	7	2021	474.383
5	7	2021	475.727
4	7	2021	482.467
3	7	2021	485.173
2	7	2021	485.173
1	7	2021	487.885
30	6	2021	485.173
29	6	2021	490.602
28	6	2021	487.885
27	6	2021	490.602
26	6	2021	490.602
25	6	2021	490.602
24	6	2021	490.602
23	6	2021	493.325
22	6	2021	493.325
21	6	2021	491.963
20	6	2021	489.243
19	6	2021	493.325
18	6	2021	498.789
17	6	2021	496.054
16	6	2021	496.054
15	6	2021	496.054
14	6	2021	493.325
13	6	2021	493.325
12	6	2021	491.963
11	6	2021	494.689
10	6	2021	501.529
9	6	2021	509.784
8	6	2021	512.546
7	6	2021	501.529
6	6	2021	501.529
5	6	2021	501.529
4	6	2021	504.275
3	6	2021	501.529
2	6	2021	501.529
1	6	2021	509.784
31	5	2021	513.93
30	5	2021	507.026
29	5	2021	509.784
28	5	2021	509.784
27	5	2021	509.784
26	5	2021	512.546
25	5	2021	515.315
24	5	2021	512.546
23	5	2021	515.315
22	5	2021	515.315
21	5	2021	515.315
20	5	2021	518.089
19	5	2021	518.089
18	5	2021	512.546
17	5	2021	515.315
16	5	2021	515.315
15	5	2021	515.315
14	5	2021	515.315
13	5	2021	520.869
12	5	2021	520.869
11	5	2021	520.869
10	5	2021	523.654
9	5	2021	529.242
8	5	2021	532.044
7	5	2021	534.852
6	5	2021	540.484
5	5	2021	544.723
4	5	2021	546.139
3	5	2021	526.445
2	5	2021	526.445
