dia	mes	ano	chuva
29	1	2022	0.0
28	1	2022	0.0
27	1	2022	35.4
26	1	2022	9.0
25	1	2022	0.0
24	1	2022	0.0
23	1	2022	0.0
22	1	2022	1.0
21	1	2022	0.0
20	1	2022	0.0
19	1	2022	0.0
18	1	2022	0.0
17	1	2022	0.0
16	1	2022	0.0
15	1	2022	0.0
14	1	2022	0.0
13	1	2022	1.0
12	1	2022	11.2
11	1	2022	12.4
10	1	2022	11.6
9	1	2022	51.4
8	1	2022	33.0
7	1	2022	26.0
6	1	2022	0.2
5	1	2022	26.6
4	1	2022	5.2
3	1	2022	0.0
2	1	2022	37.4
1	1	2022	14.6
31	12	2021	21.0
30	12	2021	44.6
29	12	2021	15.4
28	12	2021	54.4
27	12	2021	0.0
26	12	2021	0.0
25	12	2021	4.2
24	12	2021	10.0
23	12	2021	0.6
22	12	2021	0.0
21	12	2021	6.6
20	12	2021	13.2
19	12	2021	0.6
18	12	2021	0.2
17	12	2021	1.8
16	12	2021	0.0
15	12	2021	1.8
14	12	2021	8.0
13	12	2021	59.4
12	12	2021	3.8
11	12	2021	0.0
10	12	2021	0.0
9	12	2021	0.2
8	12	2021	4.8
7	12	2021	22.0
6	12	2021	0.0
5	12	2021	73.4
4	12	2021	8.0
3	12	2021	30.8
2	12	2021	0.0
1	12	2021	20.6
30	11	2021	0.0
29	11	2021	8.6
28	11	2021	22.2
27	11	2021	0.0
26	11	2021	0.0
25	11	2021	0.0
24	11	2021	0.0
23	11	2021	0.6
22	11	2021	3.6
21	11	2021	29.4
20	11	2021	2.6
19	11	2021	2.2
18	11	2021	2.6
17	11	2021	0.0
16	11	2021	1.2
15	11	2021	5.0
14	11	2021	2.0
13	11	2021	19.6
12	11	2021	1.2
11	11	2021	1.8
10	11	2021	1.0
9	11	2021	6.0
8	11	2021	5.2
7	11	2021	17.4
6	11	2021	0.0
5	11	2021	1.2
4	11	2021	0.8
3	11	2021	0.6
2	11	2021	7.6
1	11	2021	0.2
31	10	2021	0.0
30	10	2021	0.0
29	10	2021	0.0
28	10	2021	0.0
27	10	2021	0.0
26	10	2021	0.0
25	10	2021	0.0
24	10	2021	0.0
23	10	2021	0.0
22	10	2021	5.4
21	10	2021	3.4
20	10	2021	1.4
19	10	2021	0.2
18	10	2021	0.0
17	10	2021	23.4
16	10	2021	0.0
15	10	2021	1.4
14	10	2021	0.0
13	10	2021	39.4
12	10	2021	0.4
11	10	2021	4.0
10	10	2021	0.0
9	10	2021	0.0
8	10	2021	0.0
7	10	2021	0.0
6	10	2021	0.0
5	10	2021	0.0
4	10	2021	0.0
3	10	2021	0.0
2	10	2021	0.0
1	10	2021	0.0
30	9	2021	0.0
29	9	2021	0.4
