dia	mes	ano	cota
31	8	2022	391.0
30	8	2022	394.0
29	8	2022	386.0
28	8	2022	382.0
27	8	2022	381.0
26	8	2022	379.0
25	8	2022	382.0
24	8	2022	388.0
23	8	2022	394.0
22	8	2022	387.0
21	8	2022	384.0
20	8	2022	382.0
19	8	2022	386.0
18	8	2022	385.0
17	8	2022	389.0
16	8	2022	384.0
15	8	2022	387.0
14	8	2022	391.0
13	8	2022	395.0
12	8	2022	393.0
11	8	2022	395.0
10	8	2022	386.0
9	8	2022	386.0
8	8	2022	388.0
7	8	2022	394.0
6	8	2022	393.0
5	8	2022	396.0
4	8	2022	401.0
3	8	2022	382.0
2	8	2022	388.0
1	8	2022	383.0
31	7	2022	383.0
30	7	2022	386.0
29	7	2022	392.0
28	7	2022	389.0
27	7	2022	396.0
26	7	2022	404.0
25	7	2022	399.0
24	7	2022	397.0
23	7	2022	407.0
22	7	2022	409.0
21	7	2022	406.0
20	7	2022	408.0
19	7	2022	404.0
18	7	2022	404.0
17	7	2022	398.0
16	7	2022	400.0
15	7	2022	400.0
14	7	2022	396.0
13	7	2022	400.0
12	7	2022	397.0
11	7	2022	400.0
10	7	2022	404.0
9	7	2022	404.0
8	7	2022	407.0
7	7	2022	406.0
6	7	2022	404.0
5	7	2022	404.0
4	7	2022	403.0
3	7	2022	405.0
2	7	2022	407.0
1	7	2022	409.0
30	6	2022	409.0
29	6	2022	406.0
28	6	2022	406.0
27	6	2022	409.0
26	6	2022	409.0
25	6	2022	412.0
24	6	2022	416.0
23	6	2022	415.0
22	6	2022	415.0
21	6	2022	415.0
20	6	2022	414.0
19	6	2022	416.0
18	6	2022	415.0
17	6	2022	418.0
16	6	2022	417.0
15	6	2022	419.0
14	6	2022	416.0
13	6	2022	414.0
12	6	2022	415.0
11	6	2022	419.0
10	6	2022	418.0
9	6	2022	418.0
8	6	2022	418.0
7	6	2022	417.0
6	6	2022	420.0
5	6	2022	422.0
4	6	2022	422.0
3	6	2022	421.0
2	6	2022	426.0
1	6	2022	430.0
31	5	2022	433.0
30	5	2022	432.0
29	5	2022	433.0
28	5	2022	431.0
27	5	2022	424.0
26	5	2022	418.0
25	5	2022	421.0
24	5	2022	423.0
23	5	2022	424.0
22	5	2022	423.0
21	5	2022	424.0
20	5	2022	421.0
19	5	2022	422.0
18	5	2022	425.0
17	5	2022	427.0
16	5	2022	432.0
15	5	2022	432.0
14	5	2022	429.0
13	5	2022	431.0
12	5	2022	427.0
11	5	2022	438.0
10	5	2022	435.0
9	5	2022	432.0
8	5	2022	427.0
7	5	2022	421.0
6	5	2022	421.0
5	5	2022	418.0
4	5	2022	430.0
3	5	2022	441.0
2	5	2022	435.0
1	5	2022	437.0
30	4	2022	434.0
29	4	2022	438.0
28	4	2022	440.0
27	4	2022	443.0
26	4	2022	448.0
25	4	2022	449.0
24	4	2022	445.0
23	4	2022	444.0
22	4	2022	441.0
21	4	2022	449.0
20	4	2022	450.0
19	4	2022	462.0
18	4	2022	478.0
17	4	2022	488.0
16	4	2022	503.0
15	4	2022	503.0
14	4	2022	494.0
13	4	2022	478.0
12	4	2022	472.0
11	4	2022	467.0
10	4	2022	465.0
9	4	2022	464.0
