dia	mes	ano	vazao
23	4	2022	636.289
22	4	2022	657.365
21	4	2022	694.008
20	4	2022	700.178
19	4	2022	772.381
18	4	2022	820.688
17	4	2022	801.251
16	4	2022	785.17
15	4	2022	681.723
14	4	2022	684.787
13	4	2022	703.269
12	4	2022	697.091
11	4	2022	718.792
10	4	2022	700.178
9	4	2022	712.57
8	4	2022	725.032
7	4	2022	734.424
6	4	2022	642.288
5	4	2022	709.465
4	4	2022	675.607
3	4	2022	678.662
2	4	2022	725.032
1	4	2022	728.158
31	3	2022	675.607
30	3	2022	743.855
29	3	2022	728.158
28	3	2022	728.158
27	3	2022	778.767
26	3	2022	830.462
25	3	2022	759.66
24	3	2022	753.325
23	3	2022	873.248
22	3	2022	721.91
21	3	2022	804.48
20	3	2022	791.59
19	3	2022	883.22
18	3	2022	853.414
17	3	2022	923.472
16	3	2022	913.355
15	3	2022	947.219
14	3	2022	950.627
13	3	2022	954.04
12	3	2022	1040.617
11	3	2022	1065.291
10	3	2022	1086.589
9	3	2022	1040.617
8	3	2022	1165.835
7	3	2022	1162.194
6	3	2022	1220.891
5	3	2022	1280.515
4	3	2022	1394.756
3	3	2022	1383.19
2	3	2022	1516.072
1	3	2022	1632.483
28	2	2022	1685.563
27	2	2022	1923.654
26	2	2022	2170.621
25	2	2022	2477.169
24	2	2022	2643.225
23	2	2022	2970.105
22	2	2022	3600.341
21	2	2022	4038.033
20	2	2022	3856.38
19	2	2022	3448.051
18	2	2022	2803.155
17	2	2022	2902.112
16	2	2022	3144.213
15	2	2022	3144.213
14	2	2022	3701.228
13	2	2022	4126.398
12	2	2022	4151.022
11	2	2022	2906.632
10	2	2022	2572.956
9	2	2022	2128.91
8	2	2022	1795.257
7	2	2022	1710.247
6	2	2022	1791.283
5	2	2022	1743.338
4	2	2022	1383.19
3	2	2022	1217.195
2	2	2022	1051.169
1	2	2022	984.927
31	1	2022	896.573
30	1	2022	893.229
29	1	2022	850.123
28	1	2022	916.724
27	1	2022	1019.617
26	1	2022	1047.648
25	1	2022	1122.386
24	1	2022	1083.03
23	1	2022	1191.425
22	1	2022	1288.032
21	1	2022	1329.631
20	1	2022	1488.393
19	1	2022	1543.916
18	1	2022	1779.375
17	1	2022	2297.034
16	1	2022	3111.942
15	1	2022	4067.439
14	1	2022	4685.895
13	1	2022	5517.741
12	1	2022	5665.548
11	1	2022	4655.509
10	1	2022	3148.831
9	1	2022	2339.593
8	1	2022	1919.606
7	1	2022	1964.259
6	1	2022	2005.089
5	1	2022	1992.817
4	1	2022	1996.905
3	1	2022	1795.257
2	1	2022	1600.092
1	1	2022	1195.096
31	12	2021	1083.03
30	12	2021	1151.293
29	12	2021	1198.77
28	12	2021	1280.515
27	12	2021	1706.125
26	12	2021	1624.365
25	12	2021	1616.261
24	12	2021	1563.904
23	12	2021	1648.757
22	12	2021	2009.184
21	12	2021	1759.576
20	12	2021	1276.761
19	12	2021	1500.235
18	12	2021	1348.681
17	12	2021	1254.316
16	12	2021	1058.222
15	12	2021	943.815
14	12	2021	1104.44
13	12	2021	1220.891
12	12	2021	1460.879
11	12	2021	1592.027
10	12	2021	1417.98
9	12	2021	1555.899
8	12	2021	1453.049
7	12	2021	1232.0
6	12	2021	1068.831
5	12	2021	1147.666
4	12	2021	1273.011
3	12	2021	1206.129
2	12	2021	1348.681
1	12	2021	1136.809
30	11	2021	801.251
29	11	2021	756.49
28	11	2021	791.59
27	11	2021	876.568
26	11	2021	1040.617
25	11	2021	1258.048
24	11	2021	1360.153
23	11	2021	1640.613
