dia	mes	ano	cota
21	4	2022	148.0
20	4	2022	149.0
19	4	2022	150.0
18	4	2022	154.0
17	4	2022	159.0
16	4	2022	156.0
15	4	2022	148.0
14	4	2022	147.0
13	4	2022	147.0
12	4	2022	147.0
11	4	2022	148.0
10	4	2022	148.0
9	4	2022	148.0
8	4	2022	148.0
7	4	2022	148.0
6	4	2022	148.0
5	4	2022	148.0
4	4	2022	149.0
3	4	2022	149.0
2	4	2022	149.0
1	4	2022	149.0
31	3	2022	149.0
30	3	2022	149.0
29	3	2022	150.0
28	3	2022	150.0
27	3	2022	150.0
26	3	2022	150.0
25	3	2022	150.0
24	3	2022	151.0
23	3	2022	151.0
22	3	2022	151.0
21	3	2022	152.0
20	3	2022	152.0
19	3	2022	152.0
18	3	2022	153.0
17	3	2022	153.0
16	3	2022	154.0
15	3	2022	154.0
14	3	2022	154.0
12	1	2022	412.0
11	1	2022	379.0
10	1	2022	304.0
9	1	2022	198.0
8	1	2022	168.0
7	1	2022	165.0
6	1	2022	165.0
5	1	2022	167.0
4	1	2022	167.0
3	1	2022	168.0
2	1	2022	169.0
1	1	2022	170.0
31	12	2021	170.0
30	12	2021	170.0
29	12	2021	171.0
28	12	2021	172.0
27	12	2021	173.0
26	12	2021	175.0
25	12	2021	178.0
24	12	2021	180.0
23	12	2021	182.0
22	12	2021	184.0
21	12	2021	187.0
20	12	2021	192.0
19	12	2021	149.0
18	12	2021	144.0
17	12	2021	146.0
16	12	2021	148.0
15	12	2021	151.0
14	12	2021	155.0
13	12	2021	162.0
12	12	2021	171.0
11	12	2021	179.0
10	12	2021	188.0
9	12	2021	197.0
8	12	2021	215.0
7	12	2021	194.0
6	12	2021	196.0
5	12	2021	197.0
4	12	2021	199.0
3	12	2021	200.0
2	12	2021	196.0
1	12	2021	193.0
30	11	2021	189.0
29	11	2021	181.0
28	11	2021	182.0
27	11	2021	183.0
26	11	2021	184.0
25	11	2021	186.0
24	11	2021	188.0
23	11	2021	190.0
22	11	2021	198.0
21	11	2021	186.0
20	11	2021	155.0
19	11	2021	160.0
18	11	2021	166.0
17	11	2021	170.0
16	11	2021	175.0
15	11	2021	179.0
14	11	2021	182.0
13	11	2021	187.0
12	11	2021	205.0
11	11	2021	170.0
10	11	2021	166.0
9	11	2021	168.0
8	11	2021	170.0
7	11	2021	171.0
6	11	2021	176.0
5	11	2021	179.0
4	11	2021	171.0
3	11	2021	160.0
2	11	2021	145.0
1	11	2021	131.0
31	10	2021	128.0
30	10	2021	129.0
29	10	2021	130.0
28	10	2021	131.0
27	10	2021	132.0
26	10	2021	134.0
25	10	2021	138.0
24	10	2021	144.0
23	10	2021	151.0
22	10	2021	159.0
21	10	2021	167.0
20	10	2021	161.0
19	10	2021	160.0
18	10	2021	163.0
17	10	2021	166.0
16	10	2021	168.0
15	10	2021	168.0
14	10	2021	151.0
13	10	2021	131.0
12	10	2021	99.0
11	10	2021	98.0
10	10	2021	98.0
9	10	2021	99.0
8	10	2021	99.0
7	10	2021	99.0
6	10	2021	99.0
5	10	2021	100.0
4	10	2021	100.0
3	10	2021	100.0
2	10	2021	100.0
1	10	2021	100.0
30	9	2021	100.0
29	9	2021	101.0
28	9	2021	101.0
27	9	2021	101.0
26	9	2021	101.0
25	9	2021	101.0
24	9	2021	101.0
23	9	2021	102.0
22	9	2021	102.0
21	9	2021	102.0
20	9	2021	102.0
19	9	2021	102.0
18	9	2021	103.0
17	9	2021	103.0
16	9	2021	103.0
15	9	2021	103.0
14	9	2021	103.0
13	9	2021	104.0
12	9	2021	104.0
11	9	2021	104.0
10	9	2021	104.0
9	9	2021	104.0
8	9	2021	105.0
7	9	2021	105.0
6	9	2021	105.0
5	9	2021	108.0
4	9	2021	106.0
3	9	2021	106.0
2	9	2021	106.0
1	9	2021	107.0
31	8	2021	107.0
30	8	2021	107.0
29	8	2021	107.0
28	8	2021	107.0
27	8	2021	107.0
26	8	2021	107.0
25	8	2021	107.0
24	8	2021	107.0
23	8	2021	107.0
22	8	2021	107.0
21	8	2021	107.0
20	8	2021	107.0
19	8	2021	107.0
18	8	2021	107.0
17	8	2021	107.0
16	8	2021	107.0
15	8	2021	107.0
14	8	2021	107.0
13	8	2021	107.0
12	8	2021	107.0
11	8	2021	108.0
10	8	2021	108.0
9	8	2021	108.0
8	8	2021	108.0
7	8	2021	108.0
6	8	2021	108.0
5	8	2021	108.0
4	8	2021	108.0
3	8	2021	108.0
2	8	2021	108.0
1	8	2021	108.0
31	7	2021	108.0
30	7	2021	108.0
29	7	2021	108.0
28	7	2021	108.0
27	7	2021	108.0
26	7	2021	108.0
25	7	2021	108.0
24	7	2021	108.0
23	7	2021	108.0
22	7	2021	108.0
21	7	2021	108.0
20	7	2021	108.0
19	7	2021	108.0
18	7	2021	108.0
17	7	2021	108.0
16	7	2021	108.0
15	7	2021	108.0
14	7	2021	108.0
13	7	2021	108.0
12	7	2021	108.0
11	7	2021	108.0
10	7	2021	108.0
9	7	2021	108.0
8	7	2021	108.0
7	7	2021	109.0
6	7	2021	109.0
5	7	2021	109.0
4	7	2021	110.0
3	7	2021	110.0
2	7	2021	110.0
1	7	2021	111.0
30	6	2021	111.0
29	6	2021	111.0
28	6	2021	111.0
27	6	2021	112.0
26	6	2021	112.0
25	6	2021	112.0
24	6	2021	112.0
23	6	2021	113.0
22	6	2021	113.0
21	6	2021	113.0
20	6	2021	114.0
19	6	2021	114.0
18	6	2021	114.0
17	6	2021	114.0
16	6	2021	114.0
15	6	2021	115.0
14	6	2021	115.0
13	6	2021	116.0
12	6	2021	116.0
11	6	2021	116.0
10	6	2021	116.0
9	6	2021	116.0
8	6	2021	116.0
7	6	2021	117.0
6	6	2021	117.0
5	6	2021	117.0
4	6	2021	117.0
3	6	2021	117.0
2	6	2021	117.0
1	6	2021	117.0
31	5	2021	118.0
30	5	2021	118.0
29	5	2021	118.0
28	5	2021	119.0
27	5	2021	119.0
26	5	2021	119.0
25	5	2021	125.0
24	5	2021	120.0
23	5	2021	120.0
22	5	2021	121.0
21	5	2021	121.0
20	5	2021	121.0
19	5	2021	122.0
18	5	2021	122.0
17	5	2021	122.0
16	5	2021	123.0
15	5	2021	123.0
14	5	2021	124.0
13	5	2021	124.0
12	5	2021	124.0
11	5	2021	124.0
10	5	2021	125.0
9	5	2021	125.0
8	5	2021	125.0
7	5	2021	125.0
6	5	2021	125.0
5	5	2021	126.0
4	5	2021	126.0
3	5	2021	126.0
2	5	2021	126.0
1	5	2021	126.0
30	4	2021	126.0
29	4	2021	126.0
28	4	2021	127.0
27	4	2021	128.0
26	4	2021	128.0
25	4	2021	129.0
24	4	2021	130.0
23	4	2021	130.0
22	4	2021	131.0
21	4	2021	132.0
20	4	2021	132.0
19	4	2021	133.0
18	4	2021	134.0
17	4	2021	135.0
16	4	2021	135.0
15	4	2021	136.0
14	4	2021	137.0
13	4	2021	138.0
12	4	2021	138.0
11	4	2021	139.0
10	4	2021	140.0
9	4	2021	141.0
8	4	2021	142.0
7	4	2021	142.0
6	4	2021	143.0
5	4	2021	144.0
4	4	2021	145.0
3	4	2021	145.0
2	4	2021	146.0
1	4	2021	146.0
31	3	2021	147.0
30	3	2021	148.0
29	3	2021	149.0
28	3	2021	150.0
27	3	2021	150.0
26	3	2021	151.0
25	3	2021	152.0
24	3	2021	153.0
23	3	2021	154.0
22	3	2021	155.0
21	3	2021	155.0
20	3	2021	156.0
19	3	2021	157.0
18	3	2021	158.0
17	3	2021	160.0
16	3	2021	162.0
15	3	2021	163.0
14	3	2021	165.0
13	3	2021	167.0
12	3	2021	170.0
11	3	2021	175.0
10	3	2021	169.0
9	3	2021	165.0
8	3	2021	168.0
7	3	2021	165.0
6	3	2021	159.0
5	3	2021	157.0
4	3	2021	159.0
3	3	2021	161.0
2	3	2021	163.0
1	3	2021	165.0
28	2	2021	170.0
27	2	2021	176.0
26	2	2021	187.0
25	2	2021	198.0
22	2	2021	195.0
21	2	2021	186.0
20	2	2021	186.0
19	2	2021	177.0
18	2	2021	178.0
17	2	2021	181.0
16	2	2021	186.0
15	2	2021	190.0
14	2	2021	193.0
13	2	2021	197.0
9	2	2021	198.0
8	2	2021	192.0
7	2	2021	134.0
6	2	2021	120.0
5	2	2021	120.0
4	2	2021	121.0
3	2	2021	121.0
2	2	2021	122.0
1	2	2021	122.0
31	1	2021	122.0
30	1	2021	123.0
29	1	2021	123.0
28	1	2021	124.0
27	1	2021	125.0
26	1	2021	125.0
25	1	2021	126.0
24	1	2021	127.0
23	1	2021	128.0
22	1	2021	129.0
21	1	2021	130.0
20	1	2021	131.0
19	1	2021	132.0
18	1	2021	134.0
17	1	2021	134.0
16	1	2021	135.0
15	1	2021	136.0
14	1	2021	138.0
13	1	2021	140.0
12	1	2021	141.0
11	1	2021	145.0
10	1	2021	149.0
9	1	2021	153.0
8	1	2021	158.0
7	1	2021	164.0
6	1	2021	170.0
5	1	2021	198.0
4	1	2021	139.0
3	1	2021	126.0
2	1	2021	126.0
1	1	2021	127.0
31	12	2020	127.0
30	12	2020	128.0
29	12	2020	128.0
28	12	2020	128.0
27	12	2020	129.0
26	12	2020	129.0
25	12	2020	130.0
24	12	2020	130.0
23	12	2020	131.0
22	12	2020	132.0
21	12	2020	133.0
20	12	2020	134.0
19	12	2020	135.0
18	12	2020	136.0
17	12	2020	137.0
16	12	2020	140.0
15	12	2020	143.0
14	12	2020	145.0
13	12	2020	150.0
12	12	2020	155.0
11	12	2020	142.0
10	12	2020	133.0
9	12	2020	134.0
8	12	2020	141.0
7	12	2020	150.0
6	12	2020	138.0
5	12	2020	125.0
4	12	2020	116.0
3	12	2020	109.0
2	12	2020	110.0
1	12	2020	110.0
30	11	2020	110.0
29	11	2020	111.0
28	11	2020	112.0
27	11	2020	113.0
26	11	2020	114.0
25	11	2020	114.0
24	11	2020	115.0
23	11	2020	116.0
22	11	2020	117.0
21	11	2020	118.0
20	11	2020	119.0
19	11	2020	120.0
18	11	2020	122.0
17	11	2020	124.0
16	11	2020	126.0
15	11	2020	128.0
14	11	2020	130.0
13	11	2020	132.0
12	11	2020	134.0
11	11	2020	136.0
10	11	2020	138.0
9	11	2020	140.0
8	11	2020	142.0
7	11	2020	144.0
6	11	2020	147.0
5	11	2020	151.0
4	11	2020	155.0
3	11	2020	169.0
2	11	2020	176.0
1	11	2020	188.0
31	10	2020	182.0
30	10	2020	178.0
29	10	2020	164.0
28	10	2020	161.0
27	10	2020	170.0
26	10	2020	163.0
25	10	2020	149.0
24	10	2020	135.0
23	10	2020	124.0
