dia	mes	ano	vazao
31	12	2022	39.716
30	12	2022	40.816
29	12	2022	42.504
28	12	2022	44.361
27	12	2022	47.453
26	12	2022	51.62
25	12	2022	59.057
24	12	2022	70.536
23	12	2022	52.576
22	12	2022	45.67
21	12	2022	40.263
20	12	2022	46.112
19	12	2022	36.027
18	12	2022	37.578
17	12	2022	43.501
16	12	2022	48.36
15	12	2022	52.097
14	12	2022	44.795
13	12	2022	35.52
12	12	2022	34.028
11	12	2022	35.52
10	12	2022	37.056
9	12	2022	40.263
8	12	2022	36.539
7	12	2022	33.541
6	12	2022	34.521
5	12	2022	35.52
4	12	2022	36.539
3	12	2022	37.578
2	12	2022	38.637
1	12	2022	43.93
30	11	2022	54.03
29	11	2022	70.536
28	11	2022	167.183
27	11	2022	126.564
26	11	2022	74.05
25	11	2022	60.62
24	11	2022	48.818
23	11	2022	31.174
22	11	2022	31.638
21	11	2022	40.263
20	11	2022	50.207
19	11	2022	58.03
18	11	2022	66.568
17	11	2022	69.96
16	11	2022	51.62
15	11	2022	41.373
14	11	2022	47.905
13	11	2022	58.542
12	11	2022	14.472
11	11	2022	12.895
10	11	2022	13.149
9	11	2022	13.668
8	11	2022	13.932
7	11	2022	15.026
6	11	2022	17.385
5	11	2022	21.027
4	11	2022	25.558
3	11	2022	23.597
2	11	2022	11.911
1	11	2022	9.069
31	10	2022	9.069
30	10	2022	9.069
29	10	2022	9.069
28	10	2022	9.069
27	10	2022	9.069
26	10	2022	9.472
25	10	2022	9.472
24	10	2022	9.472
23	10	2022	9.678
22	10	2022	9.887
21	10	2022	10.1
20	10	2022	10.315
19	10	2022	10.533
18	10	2022	10.755
17	10	2022	10.98
16	10	2022	11.439
15	10	2022	11.911
14	10	2022	12.895
13	10	2022	13.932
12	10	2022	15.026
11	10	2022	17.077
10	10	2022	19.648
9	10	2022	22.842
8	10	2022	25.963
7	10	2022	37.056
6	10	2022	33.058
5	10	2022	28.055
4	10	2022	22.842
3	10	2022	22.103
2	10	2022	24.368
1	10	2022	26.373
30	9	2022	31.638
29	9	2022	14.2
28	9	2022	9.472
27	9	2022	9.887
26	9	2022	9.887
25	9	2022	10.315
24	9	2022	10.533
23	9	2022	10.98
22	9	2022	11.439
21	9	2022	11.911
20	9	2022	12.895
19	9	2022	13.932
18	9	2022	11.911
17	9	2022	8.872
16	9	2022	8.298
15	9	2022	8.486
14	9	2022	8.677
13	9	2022	8.677
12	9	2022	8.677
11	9	2022	8.677
10	9	2022	9.069
9	9	2022	9.069
8	9	2022	9.069
7	9	2022	9.269
6	9	2022	9.472
5	9	2022	9.472
4	9	2022	9.472
3	9	2022	9.472
2	9	2022	9.472
1	9	2022	9.887
31	8	2022	9.887
