lags,lags_label,params,mean_absolute_percentage_error,depth,iterations,l2_leaf_reg,learning_rate
[1 2 3 4 5 6 7],[1 2 3 4 5 6 7],"{'depth': 2, 'iterations': 500, 'l2_leaf_reg': 1.0, 'learning_rate': 0.1}",0.01709469940391815,2.0,500.0,1.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 2, 'iterations': 1000, 'l2_leaf_reg': 1.0, 'learning_rate': 0.1}",0.017187080763037002,2.0,1000.0,1.0,0.1
[1 2 3 4 5 6 7],[1 2 3 4 5 6 7],"{'depth': 2, 'iterations': 1500, 'l2_leaf_reg': 1.0, 'learning_rate': 0.1}",0.017221491910177904,2.0,1500.0,1.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 2, 'iterations': 1500, 'l2_leaf_reg': 1.0, 'learning_rate': 0.1}",0.017351367393987325,2.0,1500.0,1.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 6, 'iterations': 1500, 'l2_leaf_reg': 1.0, 'learning_rate': 0.1}",0.01747883755369678,6.0,1500.0,1.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 2, 'iterations': 500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.017506337764205897,2.0,500.0,3.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 2, 'iterations': 1000, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.01752097018169431,2.0,1000.0,3.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 6, 'iterations': 500, 'l2_leaf_reg': 1.0, 'learning_rate': 0.1}",0.01761906921355957,6.0,500.0,1.0,0.1
[1 2 3 4 5 6 7],[1 2 3 4 5 6 7],"{'depth': 2, 'iterations': 1000, 'l2_leaf_reg': 1.0, 'learning_rate': 0.1}",0.01765989692640926,2.0,1000.0,1.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 2, 'iterations': 1500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.017781002472859807,2.0,1500.0,3.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 6, 'iterations': 1000, 'l2_leaf_reg': 1.0, 'learning_rate': 0.1}",0.01781557672239771,6.0,1000.0,1.0,0.1
[1 2 3 4 5 6 7],[1 2 3 4 5 6 7],"{'depth': 2, 'iterations': 1000, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.017937440733089723,2.0,1000.0,3.0,0.1
[1 2 3 4 5 6 7],[1 2 3 4 5 6 7],"{'depth': 2, 'iterations': 500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.017967944544460816,2.0,500.0,3.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 2, 'iterations': 500, 'l2_leaf_reg': 1.0, 'learning_rate': 0.1}",0.018113218385830448,2.0,500.0,1.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 2, 'iterations': 500, 'l2_leaf_reg': 5.0, 'learning_rate': 0.1}",0.01828222360042899,2.0,500.0,5.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 10, 'iterations': 500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.01828760671365899,10.0,500.0,3.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 10, 'iterations': 1000, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.018332697205096646,10.0,1000.0,3.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 2, 'iterations': 500, 'l2_leaf_reg': 5.0, 'learning_rate': 0.1}",0.018369000971193084,2.0,500.0,5.0,0.1
[1 2 3 4 5 6 7],[1 2 3 4 5 6 7],"{'depth': 2, 'iterations': 1500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.018390286291140142,2.0,1500.0,3.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 2, 'iterations': 1000, 'l2_leaf_reg': 5.0, 'learning_rate': 0.1}",0.018390451152556265,2.0,1000.0,5.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 2, 'iterations': 1000, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.018409544061061014,2.0,1000.0,3.0,0.1
[1 2 3 4 5 6 7],[1 2 3 4 5 6 7],"{'depth': 2, 'iterations': 1500, 'l2_leaf_reg': 5.0, 'learning_rate': 0.1}",0.018432062717188707,2.0,1500.0,5.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 2, 'iterations': 500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.018457678500511186,2.0,500.0,3.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 2, 'iterations': 1500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.0185138965685944,2.0,1500.0,3.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 2, 'iterations': 1000, 'l2_leaf_reg': 5.0, 'learning_rate': 0.1}",0.01855850641390895,2.0,1000.0,5.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 2, 'iterations': 1500, 'l2_leaf_reg': 5.0, 'learning_rate': 0.1}",0.018578012988278308,2.0,1500.0,5.0,0.1
[1 2 3 4 5 6 7],[1 2 3 4 5 6 7],"{'depth': 6, 'iterations': 1500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.01858556004742754,6.0,1500.0,3.0,0.1
[1 2 3 4 5 6 7],[1 2 3 4 5 6 7],"{'depth': 2, 'iterations': 500, 'l2_leaf_reg': 5.0, 'learning_rate': 0.1}",0.018602955435647602,2.0,500.0,5.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 10, 'iterations': 1500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.018615619153858783,10.0,1500.0,3.0,0.1
[1 2 3 4 5 6 7],[1 2 3 4 5 6 7],"{'depth': 2, 'iterations': 1000, 'l2_leaf_reg': 5.0, 'learning_rate': 0.1}",0.01862978034973571,2.0,1000.0,5.0,0.1
