dia	mes	ano	vazao
31	3	2022	30.5282
30	3	2022	33.9694
29	3	2022	31.4242
28	3	2022	33.9694
27	3	2022	34.6845
26	3	2022	44.816
25	3	2022	38.9081
24	3	2022	24.4746
23	3	2022	36.8839
22	3	2022	42.8813
21	3	2022	26.7598
20	3	2022	33.4977
19	3	2022	40.7332
18	3	2022	41.5309
17	3	2022	40.7332
16	3	2022	36.8839
15	3	2022	42.068
14	3	2022	41.5309
13	3	2022	38.1414
12	3	2022	42.6092
11	3	2022	42.338
10	3	2022	42.338
9	3	2022	45.9448
8	3	2022	49.137
7	3	2022	44.5364
6	3	2022	45.661
5	3	2022	50.0301
4	3	2022	50.33
3	3	2022	
2	3	2022	
1	3	2022	
28	2	2022	62.885
27	2	2022	66.736
26	2	2022	74.095
25	2	2022	83.14
24	2	2022	101.313
23	2	2022	113.176
22	2	2022	115.148
21	2	2022	104.554
20	2	2022	127.418
19	2	2022	88.533
18	2	2022	105.492
17	2	2022	107.382
16	2	2022	117.141
15	2	2022	146.677
14	2	2022	104.554
13	2	2022	86.852
12	2	2022	118.146
11	2	2022	126.367
10	2	2022	68.532
9	2	2022	57.856
8	2	2022	59.837
7	2	2022	35.652
6	2	2022	45.661
5	2	2022	35.409
4	2	2022	36.636
3	2	2022	28.357
2	2	2022	34.685
1	2	2022	17.899
31	1	2022	24.23
30	1	2022	24.721
29	1	2022	27.934
28	1	2022	32.336
27	1	2022	24.475
26	1	2022	22.569
25	1	2022	21.214
24	1	2022	32.798
23	1	2022	33.263
22	1	2022	33.498
21	1	2022	36.636
20	1	2022	30.974
19	1	2022	39.684
18	1	2022	42.338
17	1	2022	45.661
16	1	2022	49.137
15	1	2022	56.557
14	1	2022	63.575
13	1	2022	76.008
12	1	2022	87.27
11	1	2022	87.69
10	1	2022	110.256
9	1	2022	102.694
8	1	2022	81.924
7	1	2022	45.097
6	1	2022	43.98
5	1	2022	48.547
4	1	2022	59.173
3	1	2022	47.38
2	1	2022	43.98
1	1	2022	41.264
31	12	2021	37.133
30	12	2021	49.731
29	12	2021	25.981
28	12	2021	32.798
27	12	2021	33.733
26	12	2021	33.498
25	12	2021	30.751
24	12	2021	41.799
23	12	2021	29.648
22	12	2021	32.336
21	12	2021	35.166
20	12	2021	33.498
19	12	2021	47.091
18	12	2021	27.288
17	12	2021	22.339
16	12	2021	24.721
15	12	2021	29.43
14	12	2021	26.498
13	12	2021	22.339
12	12	2021	26.239
11	12	2021	27.023
10	12	2021	30.307
9	12	2021	28.783
8	12	2021	33.498
7	12	2021	37.133
6	12	2021	25.981
5	12	2021	16.948
4	12	2021	29.867
3	12	2021	35.166
