dia	mes	ano	cota
30	11	2020	107.0
29	11	2020	123.0
28	11	2020	127.0
27	11	2020	139.0
26	11	2020	136.0
25	11	2020	138.0
24	11	2020	147.0
23	11	2020	157.0
22	11	2020	164.0
21	11	2020	162.0
20	11	2020	182.0
19	11	2020	180.0
18	11	2020	195.0
17	11	2020	230.0
16	11	2020	199.0
15	11	2020	142.0
14	11	2020	121.0
13	11	2020	107.0
12	11	2020	120.0
11	11	2020	130.0
10	11	2020	145.0
9	11	2020	156.0
8	11	2020	159.0
7	11	2020	160.0
6	11	2020	168.0
5	11	2020	184.0
4	11	2020	195.0
3	11	2020	228.0
2	11	2020	214.0
1	11	2020	207.0
31	10	2020	185.0
30	10	2020	174.0
29	10	2020	170.0
28	10	2020	164.0
27	10	2020	160.0
26	10	2020	157.0
25	10	2020	141.0
24	10	2020	119.0
23	10	2020	98.0
22	10	2020	81.0
21	10	2020	83.0
20	10	2020	74.0
19	10	2020	69.0
18	10	2020	70.0
17	10	2020	70.0
16	10	2020	68.0
15	10	2020	65.0
14	10	2020	60.0
13	10	2020	54.0
12	10	2020	50.0
11	10	2020	44.0
10	10	2020	40.0
9	10	2020	40.0
8	10	2020	38.0
7	10	2020	37.0
6	10	2020	36.0
5	10	2020	35.0
4	10	2020	31.0
3	10	2020	32.0
2	10	2020	33.0
1	10	2020	36.0
30	9	2020	42.0
29	9	2020	36.0
28	9	2020	30.0
27	9	2020	28.0
26	9	2020	36.0
25	9	2020	38.0
24	9	2020	40.0
23	9	2020	33.0
22	9	2020	30.0
21	9	2020	28.0
20	9	2020	22.0
19	9	2020	27.0
18	9	2020	30.0
17	9	2020	39.0
16	9	2020	40.0
15	9	2020	33.0
14	9	2020	28.0
13	9	2020	38.0
12	9	2020	39.0
11	9	2020	40.0
10	9	2020	42.0
9	9	2020	47.0
8	9	2020	49.0
7	9	2020	47.0
6	9	2020	61.0
5	9	2020	58.0
4	9	2020	55.0
3	9	2020	59.0
2	9	2020	60.0
1	9	2020	64.0
31	8	2020	36.0
30	8	2020	34.0
29	8	2020	33.0
28	8	2020	40.0
27	8	2020	41.0
26	8	2020	36.0
25	8	2020	37.0
24	8	2020	32.0
23	8	2020	32.0
22	8	2020	30.0
21	8	2020	29.0
20	8	2020	24.0
19	8	2020	22.0
18	8	2020	23.0
17	8	2020	26.0
16	8	2020	29.0
15	8	2020	31.0
14	8	2020	33.0
13	8	2020	37.0
12	8	2020	38.0
11	8	2020	36.0
10	8	2020	38.0
9	8	2020	42.0
8	8	2020	46.0
7	8	2020	48.0
6	8	2020	51.0
5	8	2020	54.0
4	8	2020	54.0
3	8	2020	56.0
2	8	2020	60.0
1	8	2020	64.0
31	7	2020	66.0
30	7	2020	68.0
29	7	2020	70.0
28	7	2020	72.0
27	7	2020	77.0
26	7	2020	82.0
25	7	2020	80.0
24	7	2020	82.0
23	7	2020	86.0
22	7	2020	90.0
21	7	2020	90.0
20	7	2020	92.0
19	7	2020	93.0
18	7	2020	95.0
17	7	2020	98.0
16	7	2020	100.0
15	7	2020	104.0
14	7	2020	102.0
13	7	2020	101.0
12	7	2020	99.0
11	7	2020	98.0
10	7	2020	95.0
9	7	2020	93.0
8	7	2020	93.0
7	7	2020	92.0
6	7	2020	96.0
5	7	2020	99.0
4	7	2020	100.0
3	7	2020	108.0
2	7	2020	110.0
1	7	2020	110.0
30	6	2020	112.0
29	6	2020	110.0
28	6	2020	100.0
27	6	2020	98.0
26	6	2020	102.0
25	6	2020	103.0
24	6	2020	100.0
23	6	2020	96.0
22	6	2020	93.0
21	6	2020	90.0
20	6	2020	97.0
19	6	2020	100.0
18	6	2020	106.0
17	6	2020	108.0
16	6	2020	112.0
15	6	2020	118.0
14	6	2020	119.0
13	6	2020	120.0
12	6	2020	126.0
11	6	2020	134.0
10	6	2020	128.0
9	6	2020	130.0
8	6	2020	132.0
7	6	2020	133.0
6	6	2020	132.0
5	6	2020	130.0
4	6	2020	129.0
3	6	2020	128.0
2	6	2020	121.0
1	6	2020	117.0
31	5	2020	114.0
30	5	2020	110.0
29	5	2020	114.0
28	5	2020	112.0
27	5	2020	110.0
26	5	2020	115.0
25	5	2020	116.0
24	5	2020	115.0
23	5	2020	107.0
22	5	2020	100.0
21	5	2020	98.0
20	5	2020	94.0
19	5	2020	95.0
18	5	2020	98.0
17	5	2020	105.0
16	5	2020	101.0
15	5	2020	100.0
14	5	2020	98.0
13	5	2020	98.0
12	5	2020	100.0
11	5	2020	112.0
10	5	2020	114.0
9	5	2020	120.0
8	5	2020	127.0
7	5	2020	132.0
6	5	2020	133.0
5	5	2020	136.0
4	5	2020	140.0
3	5	2020	156.0
2	5	2020	158.0
1	5	2020	159.0
30	4	2020	163.0
29	4	2020	170.0
28	4	2020	177.0
27	4	2020	184.0
26	4	2020	188.0
25	4	2020	203.0
24	4	2020	210.0
23	4	2020	218.0
22	4	2020	228.0
21	4	2020	238.0
20	4	2020	236.0
19	4	2020	242.0
18	4	2020	259.0
17	4	2020	263.0
16	4	2020	254.0
15	4	2020	250.0
14	4	2020	245.0
13	4	2020	243.0
12	4	2020	240.0
11	4	2020	236.0
10	4	2020	210.0
9	4	2020	215.0
8	4	2020	187.0
7	4	2020	176.0
6	4	2020	180.0
5	4	2020	208.0
4	4	2020	190.0
3	4	2020	182.0
2	4	2020	180.0
1	4	2020	190.0
31	3	2020	203.0
30	3	2020	209.0
29	3	2020	219.0
28	3	2020	258.0
27	3	2020	289.0
26	3	2020	323.0
25	3	2020	344.0
24	3	2020	372.0
23	3	2020	272.0
22	3	2020	214.0
21	3	2020	190.0
20	3	2020	199.0
19	3	2020	211.0
18	3	2020	223.0
17	3	2020	228.0
16	3	2020	253.0
15	3	2020	272.0
14	3	2020	281.0
13	3	2020	281.0
12	3	2020	303.0
11	3	2020	312.0
10	3	2020	357.0
9	3	2020	421.0
8	3	2020	456.0
7	3	2020	489.0
6	3	2020	500.0
5	3	2020	504.0
4	3	2020	511.0
3	3	2020	516.0
2	3	2020	518.0
1	3	2020	521.0
29	2	2020	368.0
28	2	2020	354.0
27	2	2020	340.0
26	2	2020	330.0
25	2	2020	320.0
24	2	2020	312.0
23	2	2020	302.0
22	2	2020	299.0
21	2	2020	288.0
20	2	2020	282.0
19	2	2020	273.0
18	2	2020	268.0
17	2	2020	250.0
16	2	2020	242.0
15	2	2020	237.0
14	2	2020	241.0
13	2	2020	234.0
12	2	2020	226.0
11	2	2020	221.0
10	2	2020	218.0
9	2	2020	218.0
8	2	2020	219.0
7	2	2020	264.0
6	2	2020	192.0
5	2	2020	213.0
4	2	2020	231.0
3	2	2020	245.0
2	2	2020	366.0
1	2	2020	356.0
31	1	2020	351.0
30	1	2020	356.0
29	1	2020	540.0
28	1	2020	669.0
27	1	2020	650.0
26	1	2020	485.0
25	1	2020	246.0
24	1	2020	250.0
23	1	2020	227.0
22	1	2020	188.0
21	1	2020	168.0
20	1	2020	144.0
19	1	2020	128.0
18	1	2020	131.0
17	1	2020	107.0
16	1	2020	107.0
15	1	2020	103.0
14	1	2020	110.0
13	1	2020	130.0
12	1	2020	129.0
11	1	2020	128.0
10	1	2020	151.0
9	1	2020	177.0
8	1	2020	179.0
7	1	2020	147.0
6	1	2020	128.0
5	1	2020	92.0
4	1	2020	103.0
3	1	2020	94.0
2	1	2020	96.0
1	1	2020	98.0
31	12	2019	102.0
30	12	2019	115.0
29	12	2019	128.0
28	12	2019	139.0
