iter	Passed	Remaining
532	776	680
533	777	678
534	779	677
535	780	675
536	782	674
537	783	673
538	785	671
539	786	670
540	788	668
541	789	667
542	791	665
543	792	664
544	794	662
545	795	661
546	797	660
547	798	658
548	800	657
549	801	656
550	803	654
551	804	653
552	806	651
553	808	650
554	809	649
555	811	647
556	812	646
557	814	644
558	815	643
559	816	641
560	818	640
561	819	639
562	821	637
563	821	635
564	823	634
565	825	632
566	826	631
567	827	629
568	829	628
569	830	626
570	832	625
571	833	623
572	835	622
573	836	620
574	838	619
575	839	618
576	841	616
577	843	615
578	844	614
579	846	612
580	847	611
581	848	609
582	850	608
583	852	607
584	853	605
585	855	604
586	856	602
587	858	601
588	859	600
589	861	598
590	862	597
591	864	595
592	865	594
593	867	592
594	868	591
595	869	589
596	871	588
597	872	586
598	873	585
599	875	583
600	876	582
601	878	580
602	879	579
603	880	577
604	882	575
605	883	574
606	884	572
607	886	571
608	888	570
609	889	568
610	891	567
611	892	565
612	893	564
613	895	562
614	896	561
615	898	559
616	899	558
617	901	557
618	902	555
619	904	554
620	905	552
621	907	551
622	908	549
623	909	548
624	910	546
625	912	545
626	914	543
627	915	542
628	917	541
629	918	539
630	920	538
631	921	536
632	922	534
633	923	533
634	925	531
635	926	530
636	928	529
637	929	527
638	931	526
639	932	524
640	934	523
641	935	521
642	937	520
643	938	518
644	940	517
645	941	516
646	943	514
647	944	513
648	946	511
649	947	510
650	949	508
651	950	507
652	952	505
653	953	504
654	954	502
655	956	501
656	958	500
657	960	499
658	962	497
659	963	496
660	965	495
661	966	493
662	968	492
663	969	490
664	970	489
665	972	487
666	973	486
667	975	484
668	976	483
669	978	481
670	979	480
671	981	478
672	983	477
673	984	476
674	986	474
675	987	473
676	989	471
677	990	470
678	992	469
679	993	467
680	994	465
681	996	464
682	998	463
683	1000	462
684	1002	460
685	1004	459
686	1005	458
687	1007	456
688	1009	455
689	1011	454
690	1013	453
691	1015	451
692	1017	450
693	1019	449
694	1021	448
695	1022	446
696	1024	445
697	1026	444
698	1028	442
699	1029	441
700	1031	439
701	1032	438
702	1034	437
703	1036	435
704	1037	434
705	1039	432
706	1041	431
707	1042	429
708	1044	428
709	1046	427
710	1048	426
711	1049	424
712	1051	423
713	1053	422
714	1055	420
715	1057	419
716	1058	417
717	1060	416
718	1061	414
719	1063	413
720	1065	412
721	1067	410
722	1068	409
723	1070	408
724	1072	406
725	1074	405
726	1075	404
727	1077	402
728	1079	401
729	1080	399
730	1082	398
731	1084	397
732	1086	395
733	1088	394
734	1090	393
735	1092	391
736	1093	390
737	1096	389
738	1099	388
739	1102	387
740	1104	385
741	1106	384
742	1108	383
743	1112	382
744	1116	382
745	1119	381
746	1121	379
747	1125	379
748	1128	378
749	1131	377
750	1133	375
751	1135	374
752	1137	373
753	1139	371
754	1141	370
755	1143	369
756	1145	367
757	1147	366
758	1149	364
759	1150	363
760	1152	362
761	1153	360
762	1155	358
763	1157	357
764	1158	355
765	1160	354
766	1162	353
767	1163	351
768	1165	350
769	1166	348
770	1168	347
771	1170	345
772	1171	344
773	1173	342
774	1174	340
775	1176	339
776	1177	338
777	1179	336
778	1180	334
779	1182	333
780	1184	332
781	1185	330
782	1186	328
783	1188	327
784	1189	325
785	1191	324
786	1192	322
787	1194	321
788	1196	319
789	1197	318
790	1199	316
791	1200	315
792	1202	313
793	1203	312
794	1205	310
795	1206	309
796	1208	307
797	1209	306
798	1211	304
799	1213	303
800	1214	301
801	1216	300
802	1217	298
803	1219	297
804	1220	295
805	1222	294
806	1223	292
807	1224	291
808	1226	289
809	1228	288
810	1229	286
811	1230	284
812	1232	283
813	1233	281
814	1235	280
815	1236	278
816	1237	277
817	1239	275
818	1240	274
819	1242	272
820	1243	271
821	1245	269
822	1246	268
823	1248	266
824	1250	265
825	1251	263
826	1253	262
827	1254	260
828	1256	259
829	1257	257
830	1259	256
831	1260	254
832	1262	253
833	1264	251
834	1265	250
835	1267	248
836	1268	247
837	1270	245
838	1271	244
839	1272	242
840	1274	240
841	1275	239
842	1277	237
843	1278	236
844	1279	234
845	1281	233
846	1282	231
847	1284	230
848	1285	228
849	1286	227
850	1288	225
851	1289	223
852	1290	222
853	1291	220
854	1293	219
855	1294	217
856	1296	216
857	1297	214
858	1298	213
859	1300	211
860	1301	210
861	1303	208
862	1304	207
863	1306	205
864	1307	204
865	1309	202
866	1310	201
867	1312	199
868	1313	198
869	1315	196
870	1316	195
871	1318	193
872	1319	191
873	1320	190
874	1322	188
875	1323	187
876	1325	185
877	1327	184
878	1328	182
879	1330	181
880	1331	179
881	1333	178
882	1334	176
883	1335	175
884	1337	173
885	1338	172
886	1340	170
887	1341	169
888	1342	167
889	1344	166
890	1345	164
891	1346	163
892	1348	161
893	1349	160
894	1351	158
895	1352	156
896	1353	155
897	1355	153
898	1356	152
899	1357	150
900	1359	149
901	1360	147
902	1361	146
903	1363	144
904	1364	143
905	1365	141
906	1367	140
907	1368	138
908	1369	137
909	1371	135
910	1372	134
911	1374	132
912	1375	131
913	1377	129
914	1378	128
915	1379	126
916	1381	125
917	1382	123
918	1383	121
919	1385	120
920	1386	118
921	1387	117
922	1389	115
923	1390	114
924	1392	112
925	1393	111
926	1395	109
927	1396	108
928	1398	106
929	1399	105
930	1401	103
931	1402	102
932	1404	100
933	1405	99
934	1407	97
935	1408	96
936	1409	94
937	1410	93
938	1412	91
939	1413	90
940	1415	88
941	1416	87
942	1418	85
943	1419	84
944	1420	82
945	1422	81
946	1423	79
947	1425	78
948	1426	76
949	1428	75
950	1430	73
951	1431	72
952	1432	70
953	1434	69
954	1435	67
955	1436	66
956	1438	64
957	1439	63
958	1441	61
959	1442	60
960	1444	58
961	1445	57
962	1447	55
963	1448	54
964	1449	52
965	1451	51
966	1453	49
967	1454	48
968	1455	46
969	1457	45
970	1458	43
971	1459	42
972	1461	40
973	1462	39
974	1463	37
975	1465	36
976	1466	34
977	1467	33
978	1469	31
979	1470	30
980	1472	28
981	1473	27
982	1475	25
983	1476	24
984	1477	22
985	1478	20
986	1480	19
987	1481	17
988	1483	16
989	1484	14
990	1485	13
991	1487	11
992	1488	10
993	1489	8
994	1490	7
995	1492	5
996	1493	4
997	1495	2
998	1496	1
999	1497	0
