iter	RMSE
0	1.444232342
1	1.385954886
2	1.332409758
3	1.282124504
4	1.234442712
5	1.187136081
6	1.143471995
7	1.100265349
8	1.059858377
9	1.02242358
10	0.9877769764
11	0.9545610841
12	0.9211801844
13	0.8930847596
14	0.8662583301
15	0.8389651122
16	0.8152673543
17	0.791639289
18	0.7709136726
19	0.7518158203
20	0.7318471359
21	0.7131252471
22	0.6957895217
23	0.6815271719
24	0.6673040589
25	0.6531049385
26	0.6396638312
27	0.6272230978
28	0.6168272342
29	0.6056149298
30	0.5958187676
31	0.5862386232
32	0.5763035712
33	0.5690166006
34	0.5623228527
35	0.5554985794
36	0.548328579
37	0.5418112815
38	0.5358557748
39	0.5317695279
40	0.5268281272
41	0.522368992
42	0.5177424563
43	0.5140336136
44	0.51001597
45	0.5067344853
46	0.5032082483
47	0.4999553739
48	0.4974639782
49	0.494434659
50	0.4920791329
51	0.4899132881
52	0.4877421787
53	0.4862117038
54	0.4840397319
55	0.4821908081
56	0.4807614587
57	0.4791563111
58	0.47749539
59	0.4760141895
60	0.4744301869
61	0.4733166567
62	0.4715620645
63	0.4698615372
64	0.4684864141
65	0.467213387
66	0.4660901296
67	0.4642969509
68	0.4627077248
69	0.461240451
70	0.460449566
71	0.4592462303
72	0.4581801547
73	0.4575246082
74	0.4566724043
75	0.4558828234
76	0.4548329367
77	0.4542872559
78	0.4539573517
79	0.45343013
80	0.452565581
81	0.4518569477
82	0.4508085677
83	0.4500775958
84	0.4497444185
85	0.4491736658
86	0.4482820846
87	0.4477906969
88	0.4470136789
89	0.4467673223
90	0.4462891632
91	0.445464473
92	0.4452186588
93	0.4448840879
94	0.4447181465
95	0.4445744658
96	0.4443236594
97	0.443585249
98	0.4433504373
99	0.4427935448
100	0.4417437809
101	0.441206607
102	0.4400858696
103	0.4397691321
104	0.4385892846
105	0.4381519
106	0.4375118978
107	0.4369693324
108	0.4359758831
109	0.4350844605
110	0.4341225212
111	0.4340391741
112	0.4338864924
113	0.4333448699
114	0.4329330884
115	0.4325786396
116	0.4322881523
117	0.4318319056
118	0.4316312507
119	0.4314335338
120	0.4312003495
121	0.4309005318
122	0.4305202118
123	0.4302263308
124	0.4301011087
125	0.4295891642
126	0.4295216706
127	0.4291190667
128	0.4289194193
129	0.4283088085
130	0.4279224904
131	0.4273308828
132	0.4273228626
133	0.4270285921
134	0.4262411719
135	0.4261966271
136	0.4260246905
137	0.4256858356
138	0.4251520834
139	0.4248020426
140	0.4246963072
141	0.4243472042
142	0.42415518
143	0.4239909323
144	0.4232962486
145	0.4223409049
146	0.4222603018
147	0.4220934317
148	0.4217842597
149	0.4217114865
150	0.4212637521
151	0.4208918352
152	0.4207469564
153	0.4202099774
154	0.4197046376
155	0.4188313078
156	0.4184332441
157	0.4183189612
158	0.4178740126
159	0.4177597317
160	0.4175790678
161	0.4173659952
162	0.4172528265
163	0.4167501816
164	0.415753527
165	0.4152579834
166	0.4150841355
167	0.4146544206
168	0.4143788491
169	0.4140323358
170	0.413668736
171	0.4135636148
172	0.4134148705
173	0.4129960976
174	0.4127748345
175	0.4125930217
176	0.4121936847
177	0.4120802108
178	0.4113887301
179	0.4108735399
180	0.4107569561
181	0.410695766
182	0.4105852623
183	0.4096630813
184	0.4090084404
185	0.4083706618
186	0.4082391957
187	0.4073783605
188	0.4065912
189	0.406545627
190	0.406163826
191	0.4061012343
192	0.4056591278
193	0.4051893589
194	0.4044672212
195	0.4042080362
196	0.4041531731
197	0.4032327584
198	0.4028877858
199	0.4026564826
200	0.4025863328
201	0.4025472888
202	0.4024184819
203	0.4021763555
204	0.4021389472
205	0.40171235
206	0.4016579748
207	0.4014043138
208	0.401187945
209	0.401101241
210	0.4004821088
211	0.4001225371
212	0.399543185
213	0.3986950468
214	0.3986357959
215	0.3983699843
216	0.3977285214
217	0.3976219674
218	0.3975596199
219	0.3972442886
220	0.3968289628
221	0.3965818351
222	0.3962330912
223	0.3960504757
224	0.3956780322
225	0.3952496156
226	0.3950322887
227	0.3949992144
228	0.3945035929
229	0.3941851757
230	0.3937115471
231	0.393670272
232	0.3936421871
233	0.3935270815
234	0.3931122215
235	0.3929887064
236	0.3926101071
237	0.3925837365
238	0.3924957225
239	0.3921342938
240	0.39173555
241	0.3915311963
242	0.3912113721
243	0.3908315388
244	0.3906668328
245	0.3901842008
246	0.3898075704
247	0.3891922911
248	0.389050609
249	0.3886196277
250	0.3884746117
251	0.3880676817
252	0.387759103
253	0.3877038618
254	0.3876117785
255	0.3875882977
256	0.3873044929
257	0.3871332519
258	0.3864740997
259	0.3860320029
260	0.3859518818
261	0.3856475477
262	0.3854891501
263	0.385113535
264	0.3849660688
265	0.3844587702
266	0.3838859994
267	0.3838412179
268	0.3837517716
269	0.383474689
270	0.3833912301
271	0.3830783239
272	0.3828805368
273	0.3823318944
274	0.3822830004
275	0.3821579738
276	0.3820199315
277	0.3812741668
278	0.3812439137
279	0.3808879248
280	0.3806364853
281	0.3806308571
282	0.3800037271
283	0.3796461682
284	0.3795397909
285	0.379229377
286	0.3792002102
287	0.3790766104
288	0.3789482578
289	0.3788096871
290	0.3786623522
291	0.3786136606
292	0.3781093205
293	0.3779979618
294	0.3772813481
295	0.3772507517
296	0.3772027026
297	0.3768550005
298	0.3763817625
299	0.3763588321
300	0.3760665369
301	0.3758803701
302	0.3756116949
303	0.3751834845
304	0.3751613354
305	0.3751336482
306	0.3750419186
307	0.3749542906
308	0.3748213006
309	0.3747374415
310	0.3744296748
311	0.3739807063
312	0.3737190683
313	0.3735096614
314	0.3731714562
315	0.3731048575
316	0.3729969821
317	0.3722591316
318	0.3719873461
319	0.3717925268
320	0.3716327797
321	0.3712783655
322	0.3705096014
323	0.3704307452
324	0.3704160619
325	0.3701892107
326	0.3700947681
327	0.3699459433
328	0.3697266123
329	0.3693817778
330	0.3692907036
331	0.3691559003
332	0.3691360174
333	0.3687327405
334	0.3686930398
335	0.3682862334
336	0.367772306
337	0.3676626344
338	0.367385491
339	0.3672900289
340	0.3670209497
341	0.3668721095
342	0.3664862643
343	0.3664668405
344	0.366191412
345	0.3658535499
346	0.3654111111
347	0.3650371581
348	0.3648034066
349	0.3642678583
350	0.3640455789
351	0.3633384039
352	0.3631516801
353	0.3626434439
354	0.3624719185
355	0.3619260197
356	0.3618360597
357	0.3617827962
358	0.3617628302
359	0.3614234945
360	0.3612126236
361	0.3611810442
362	0.3611626899
363	0.3610837049
364	0.3603393554
365	0.3600781393
366	0.3600704957
367	0.3597020315
368	0.3593442468
369	0.359281705
370	0.3586647788
371	0.3582071838
372	0.3578611251
373	0.3577900752
374	0.3576646829
375	0.3575523165
376	0.3569091765
377	0.3562033175
378	0.3559360649
379	0.3556855074
380	0.3555670271
381	0.3552456766
382	0.3549132223
383	0.3545944857
384	0.3544554823
385	0.3539192223
386	0.3538547658
387	0.3538009274
388	0.3534964445
389	0.3531787052
390	0.353155696
391	0.3528660154
392	0.3525879513
393	0.3522554231
394	0.3517674805
395	0.3516861927
396	0.351441198
397	0.3513337526
398	0.3510122859
399	0.3504906628
400	0.3499547104
401	0.3493368273
402	0.3492626299
403	0.349188237
404	0.3488034474
405	0.3484642759
406	0.3482286749
407	0.3474596818
408	0.3474387401
409	0.3471431817
410	0.3469559365
411	0.3468095224
412	0.3467471801
413	0.3465870545
414	0.3461546804
415	0.3455707628
416	0.3451604648
417	0.3450227042
418	0.3445229653
419	0.3445044009
420	0.3442310369
421	0.3441550452
422	0.3437588541
423	0.3434595713
424	0.3427730482
425	0.3427170165
426	0.3423982393
427	0.3422802913
428	0.34206917
429	0.3418788512
430	0.3418065676
431	0.3415611266
432	0.341330545
433	0.3408613418
434	0.3405923851
435	0.3399816319
436	0.3397384703
437	0.3392678625
438	0.3386274861
439	0.3385568615
440	0.3383814154
441	0.3380822872
442	0.3377607851
443	0.3377100186
444	0.3374768497
445	0.3371567863
446	0.3368764952
447	0.3361973817
448	0.3358972662
449	0.3358315344
450	0.3355455099
451	0.3354139311
452	0.335125029
453	0.3350667401
454	0.3347023
455	0.3345880701
456	0.3345285337
457	0.3344937644
458	0.3343331175
459	0.334139151
460	0.3339512079
461	0.3336550308
462	0.3331289189
463	0.3330618481
464	0.3329238052
465	0.3324214207
466	0.3323209
467	0.3322232969
468	0.3316456088
469	0.3316135066
470	0.3312509895
471	0.3311066678
472	0.3308527735
473	0.3301838575
474	0.3300405853
475	0.3296919365
476	0.3294889302
477	0.3289501635
478	0.3285293811
479	0.3284430348
480	0.3280118696
481	0.3278113595
482	0.3274248101
483	0.3272963826
484	0.326987017
485	0.3265815392
486	0.3262900072
487	0.3259391913
488	0.3258180331
489	0.3253078288
490	0.3249691865
491	0.3246967933
492	0.3245701581
493	0.3244125727
494	0.3242503654
495	0.3239911418
496	0.3237601893
497	0.3234874916
498	0.3231754285
499	0.3229997602
500	0.3227312959
501	0.3226442188
502	0.3224986202
503	0.3221828959
504	0.3220208887
505	0.3214601
506	0.3214010133
507	0.3211547625
508	0.3208996687
509	0.3207730717
510	0.3202505427
511	0.3199864171
512	0.3196752255
513	0.3195141786
514	0.3194517995
515	0.3193241148
516	0.3190058762
517	0.318792993
518	0.3183498511
519	0.3178538054
520	0.3174454412
521	0.3170614127
522	0.3169876089
523	0.3169713785
524	0.3167094001
525	0.3164446703
526	0.3163007451
527	0.3160030242
528	0.3157021039
529	0.3153519082
530	0.3148722178
531	0.3145915258
532	0.3143436743
533	0.3142895319
534	0.3141237854
535	0.3137384704
536	0.3132751566
537	0.3129302556
538	0.3128002628
539	0.3126715974
540	0.3125548977
541	0.3125370585
542	0.3122765518
543	0.3121756582
544	0.3121403673
545	0.3119080011
546	0.3118919547
547	0.3117068421
548	0.3115015818
549	0.311340046
550	0.311227832
551	0.3111176801
552	0.3107893605
553	0.3105299779
554	0.3103532903
555	0.3101539452
556	0.3100246753
557	0.3100007398
558	0.3099533745
559	0.309637199
560	0.3092723661
561	0.3090512976
562	0.3090393099
563	0.3089971996
564	0.3088099155
565	0.3087051111
566	0.3086825748
567	0.308452289
568	0.3082075572
569	0.3079415696
570	0.3076483638
571	0.307635263
572	0.3075043824
573	0.3072699473
574	0.3071740591
575	0.3066222717
576	0.306101734
577	0.3059172669
578	0.3058181827
579	0.3057738581
580	0.3055043646
581	0.305493531
582	0.3052460967
583	0.3051475505
584	0.3050570581
585	0.3048524921
586	0.3047481447
587	0.3046072596
588	0.3043960002
589	0.3041106062
590	0.3036254918
591	0.3034338404
592	0.3032145162
593	0.303053944
594	0.302846247
595	0.302574093
596	0.3023986815
597	0.3023164091
598	0.3020887629
599	0.3019486282
600	0.3018475144
601	0.3016008245
602	0.3013959575
603	0.3013590975
604	0.3013178917
605	0.3011295662
606	0.3009075045
607	0.300234695
608	0.3000708167
609	0.299822297
610	0.2996855132
611	0.2995611511
612	0.2995434194
613	0.2995150684
614	0.2992745707
615	0.299067138
616	0.2988695431
617	0.2987496511
618	0.2985586618
619	0.2983452234
620	0.2979578154
621	0.2974064999
622	0.297311167
623	0.2972785547
624	0.2972483526
625	0.2971591404
626	0.2970797642
627	0.2969143185
628	0.2966846334
629	0.2965950399
630	0.2962085093
631	0.2961807792
632	0.2961119033
633	0.2960499333
634	0.2958659315
635	0.2957760743
636	0.295703279
637	0.2951876661
638	0.2949673617
639	0.2947097146
640	0.2946982506
641	0.2946630193
642	0.2945326302
643	0.2943690593
644	0.2938873172
645	0.2937175212
646	0.2932431622
647	0.2930884874
648	0.2930099037
649	0.2928507849
650	0.2926324342
651	0.2925987606
652	0.2924453365
653	0.2923701087
654	0.2923639068
655	0.2922034998
656	0.2920862862
657	0.2920185243
658	0.2918465488
659	0.2917074798
660	0.2915919573
661	0.2915782663
662	0.2914918234
663	0.2913234952
664	0.2911571158
665	0.2909828003
666	0.2909359051
667	0.2909126671
668	0.2907125034
669	0.2905244226
670	0.2903585057
671	0.2903282018
672	0.2902075274
673	0.2901964062
674	0.2901226954
675	0.2898703399
676	0.2898610702
677	0.2896857442
678	0.2895371871
679	0.2895327834
680	0.2892985597
681	0.2891555633
682	0.2888998187
683	0.2887054675
684	0.288565355
685	0.288315004
686	0.2879920164
687	0.2876443882
688	0.2874438586
689	0.2868995618
690	0.2868363518
691	0.2867686497
692	0.2866667281
693	0.2864233501
694	0.286226174
695	0.2862096532
696	0.2861514565
697	0.2859697229
698	0.2857630306
699	0.2856986773
700	0.2856854573
701	0.2856012324
702	0.2855333176
703	0.2854886962
704	0.2852098389
705	0.2850908575
706	0.2849153052
707	0.2846588604
708	0.2845717064
709	0.2843674532
710	0.284248879
711	0.2838641159
712	0.2838542623
713	0.2836151036
714	0.2833986952
715	0.2833289332
716	0.2832528084
717	0.2831199299
718	0.2830310372
719	0.2829979598
720	0.2827901016
721	0.2827262781
722	0.2826866875
723	0.2826772771
724	0.2826495828
725	0.2825937163
726	0.2823977754
