data	chuva	nivel	vazao
2018-03-11	22.4	187.45833333333334	123.84583333333335
2018-03-12	0.6	1037.0	0.0
2018-03-13	0.0	816.4583333333334	37.083333333333336
2018-03-14	21.6	186.41666666666666	190.26250000000002
2018-03-15	0.0	169.0	159.36666666666667
2018-03-16	4.7	160.0	144.525
2018-03-17	0.3	185.82608695652175	189.37391304347827
2018-03-18	0.0	191.04347826086956	198.39565217391305
2018-03-19	0.0	189.75	196.07500000000002
2018-03-20	0.0	178.33333333333334	175.65416666666667
2018-03-21	0.3	163.0	149.13913043478263
2018-03-22	0.0	163.66666666666666	150.52916666666667
2018-03-23	23.4	176.33333333333334	172.41666666666666
2018-03-24	0.0	211.54166666666666	238.3166666666667
2018-03-25	0.0	193.79166666666666	203.9625
2018-03-26	0.0	171.16666666666666	163.14583333333334
2018-03-27	0.0	155.91666666666666	138.02083333333334
2018-03-28	0.0	150.65217391304347	129.58260869565217
2018-03-29	6.8999999999999995	146.25	122.80000000000001
2018-03-30	0.0	144.66666666666666	120.51666666666667
2018-03-31	0.0	141.3913043478261	115.58260869565218
2018-04-01	0.0	138.875	111.69583333333333
2018-04-02	0.0	136.54166666666666	108.52499999999999
2018-04-03	1.3	133.61904761904762	104.5
2018-04-04	5.0	150.91666666666666	129.91666666666666
2018-04-05	1.2	158.47826086956522	141.9391304347826
2018-04-06	0.6	176.25	171.88333333333333
2018-04-07	0.6	176.25	172.0041666666667
2018-04-08	1.5	173.79166666666666	167.49583333333334
2018-04-09	1.7999999999999998	158.5	141.95416666666668
2018-04-10	3.0	149.41666666666666	127.52083333333333
2018-04-11	2.4	146.0	122.4375
2018-04-12	1.7999999999999998	144.29166666666666	120.20416666666667
2018-04-13	1.2	141.33333333333334	115.67083333333333
2018-04-14	0.6	140.5	114.18333333333334
2018-04-15	0.3	139.65217391304347	112.55217391304348
2018-04-16	0.3	137.95833333333334	110.42916666666667
2018-04-17	0.3	138.0	110.50416666666666
2018-04-18	0.0	139.2608695652174	112.05652173913045
2018-04-19	0.0	137.54166666666666	109.87083333333334
2018-04-20	0.3	134.82608695652175	105.88695652173914
2018-04-21	0.0	130.34782608695653	99.69130434782609
2018-04-22	0.0	129.25	98.30000000000001
2018-04-23	0.0	129.875	99.03750000000001
2018-04-24	0.0	129.8695652173913	99.07826086956523
2018-04-25	0.0	129.875	99.00416666666666
2018-04-26	0.3	129.83333333333334	99.10000000000001
2018-04-27	0.0	128.5	97.36250000000001
2018-04-28	0.0	129.0	98.05652173913045
2018-04-29	0.0	128.7391304347826	97.63913043478261
2018-04-30	0.0	127.25	95.40833333333335
2018-05-01	0.0	127.25	95.35416666666667
2018-05-02	0.0	128.20833333333334	96.60000000000001
2018-05-03	0.0	126.33333333333333	94.08333333333333
2018-05-04	0.0	125.95652173913044	93.44347826086955
2018-05-05	0.0	124.08695652173913	91.16521739130435
2018-05-06	0.0	124.875	91.94583333333333
2018-05-07	0.0	124.70833333333333	91.81666666666666
2018-05-08	0.0	122.58333333333333	89.0125
2018-05-09	0.0	125.58333333333333	92.98333333333333
2018-05-10	0.0	125.30434782608695	92.60000000000001
2018-05-11	0.0	124.625	91.91666666666667
2018-05-12	0.0	124.375	91.3
2018-05-13	0.0	124.58333333333333	91.50833333333333
2018-05-14	0.0	125.625	92.74166666666666
2018-05-15	0.0	125.125	92.325
2018-05-16	0.0	125.5	92.75416666666666
2018-05-17	0.0	125.82608695652173	93.28260869565217
2018-05-18	3.1	126.58333333333333	94.14999999999999
2018-05-19	0.6	124.5	91.36666666666667
2018-05-20	0.6	123.91666666666667	90.93333333333334
2018-05-21	0.0	125.75	93.25833333333333
2018-05-22	0.3	127.5	95.84166666666668
2018-05-23	0.0	128.375	96.92083333333333
2018-05-24	0.3	128.5	97.25
2018-05-25	0.0	127.54166666666667	95.75
2018-05-26	0.3	126.875	94.65833333333335
2018-05-27	0.0	128.08333333333334	96.60000000000001
