Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02143021


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2143021;1;01/03/2021;1;30,0;74,5;31;10;1;1;1;;0;0,1;0,0;0,0;0,0;0,0;4,4;5,4;3,8;3,9;0,0;20,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;1,9;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;30,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2143021;1;01/02/2021;1;42,3;263,4;7;18;1;1;1;;0;0,0;0,0;0,0;0,0;1,2;23,5;42,3;22,0;2,5;3,3;0,0;36,4;6,3;20,0;0,0;25,1;6,9;32,0;26,9;11,0;1,4;2,0;0,0;0,0;0,0;0,2;0,4;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
2143021;1;01/01/2021;1;40,0;208,1;1;13;1;1;1;;0;40,0;21,0;21,3;8,5;38,0;2,5;1,3;2,3;8,3;8,1;39,8;1,0;16,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2143021;1;01/12/2020;1;61,8;287,9;8;18;1;1;1;;0;7,8;2,3;0,0;2,0;0,0;11,0;31,4;61,8;11,7;0,0;8,2;0,0;0,0;0,0;0,0;0,0;1,6;31,0;3,3;0,0;0,0;0,0;33,8;3,9;13,0;10,8;40,5;8,5;5,3;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2143021;1;01/11/2020;1;81,1;231,7;19;11;1;1;1;;0;0,0;0,0;0,0;20,3;12,5;3,0;0,0;0,0;0,0;17,3;0,0;9,3;24,5;18,9;0,0;0,0;10,5;0,0;81,1;15,5;0,0;0,0;18,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2143021;1;01/10/2020;1;50,0;76,0;26;7;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,5;0,0;0,0;0,0;0,0;5,4;0,0;0,0;0,6;0,0;0,0;0,0;0,0;2,6;0,0;11,0;50,0;0,0;0,0;0,0;0,0;0,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2143021;1;01/09/2020;1;17,9;40,0;22;4;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,8;17,9;15,0;0,0;0,3;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2143021;1;01/08/2020;1;10,9;18,5;22;3;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,5;10,9;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2143021;1;01/07/2020;1;0,7;1,2;30;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2143021;1;01/06/2020;1;16,0;19,4;8;4;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
