"Classe","Total"
"Floresta","2148107.7586931665"
"Formação Natural não Florestal","432526.5447365266"
"Agropecuária","11110236.85692855"
"Área não Vegetada","259451.712443657"
"Corpo D´água","374812.91856306937"
"Não observado",""
