"Classe","Total"
"Floresta","2478190.5275375945"
"Formação Natural não Florestal","149142.41899542522"
"Agropecuária","5516961.283684986"
"Área não Vegetada","86941.81706101159"
"Corpo D´água","63405.34971378137"
"Não observado",""
