"Classe","Total"
"Floresta","3872212.3995603914"
"Formação Natural não Florestal","426940.5872683966"
"Agropecuária","2625985.956672229"
"Área não Vegetada","28001.583090857024"
"Corpo D´água","40924.74334059478"
"Não observado",""
