"Classe","Total"
"Floresta","15310045.177659607"
"Formação Natural não Florestal","611423.4678586137"
"Agropecuária","12423902.052151958"
"Área não Vegetada","297711.5750113778"
"Corpo D´água","666918.9927974421"
"Não observado",""
