ano	mes	dia	chuva
2020	4	23	0.0
2020	4	22	0.0
2020	4	21	0.0
2020	4	20	0.0
2020	4	19	0.0
2020	4	18	0.0
2020	4	17	0.0
2020	4	16	0.0
2020	4	15	0.0
2020	4	14	0.0
2020	4	13	13.9
2020	4	12	3.9
2020	4	11	0.0
2020	4	10	2.5
2020	4	9	27.6
2020	4	8	49.6
2020	4	7	0.0
2020	4	6	0.0
2020	4	5	0.0
2020	4	4	12.5
2020	4	3	0.0
2020	4	2	0.0
2020	4	1	0.0
2020	3	31	0.0
2020	3	30	0.0
2020	3	29	0.0
2020	3	28	0.0
2020	3	27	0.0
2020	3	26	0.0
2020	3	25	0.0
2020	3	24	1.0
2020	3	23	0.5
2020	3	22	13.3
2020	3	21	0.0
2020	3	20	0.0
2020	3	19	0.0
2020	3	18	1.4
2020	3	17	0.0
2020	3	16	0.0
2020	3	15	2.2
2020	3	14	0.0
2020	3	13	22.5
2020	3	12	0.7
2020	3	11	0.0
2020	3	10	0.0
2020	3	9	2.8
2020	3	8	3.9
2020	3	7	2.9
2020	3	6	56.3
2020	3	5	4.1
2020	3	4	0.5
2020	3	3	6.1
2020	3	2	111.4
2020	3	1	0.4
2020	2	29	14.1
2020	2	28	47.4
2020	2	27	1.2
2020	2	26	0.0
2020	2	25	0.0
2020	2	24	0.0
2020	2	23	97.5
2020	2	22	0.7
2020	2	21	0.0
2020	2	20	0.0
2020	2	19	0.0
2020	2	18	0.0
2020	2	17	0.7
2020	2	16	0.0
2020	2	15	0.0
2020	2	14	3.7
2020	2	13	0.0
2020	2	12	23.6
2020	2	11	0.0
2020	2	10	15.2
2020	2	9	0.5
2020	2	8	0.0
2020	2	7	0.0
2020	2	6	0.0
2020	2	5	0.0
2020	2	4	0.0
2020	2	3	0.0
2020	2	2	0.0
2020	2	1	0.0
2020	1	31	0.0
2020	1	30	0.0
2020	1	29	0.0
2020	1	28	0.0
2020	1	27	6.0
2020	1	26	38.5
2020	1	25	56.5
2020	1	24	20.2
2020	1	23	2.0
2020	1	22	8.0
2020	1	21	45.1
2020	1	20	0.0
2020	1	19	0.0
2020	1	18	31.2
2020	1	17	0.0
2020	1	16	0.0
2020	1	15	3.0
2020	1	14	0.0
2020	1	13	0.0
2020	1	12	0.0
2020	1	11	0.0
2020	1	10	0.0
2020	1	9	0.0
2020	1	8	0.0
2020	1	7	0.0
2020	1	6	0.0
2020	1	5	2.2
2020	1	4	12.3
2020	1	3	0.8
2020	1	2	0.0
2020	1	1	0.0
2019	12	31	0.0
2019	12	30	0.5
2019	12	29	2.1
2019	12	28	0.0
2019	12	27	0.0
2019	12	26	0.0
2019	12	25	2.6
2019	12	24	0.0
2019	12	23	0.0
2019	12	22	0.0
2019	12	21	0.0
2019	12	20	0.0
2019	12	19	0.0
2019	12	18	0.0
2019	12	17	0.0
2019	12	16	0.0
2019	12	15	0.0
2019	12	14	0.0
2019	12	13	0.0
2019	12	12	0.0
2019	12	11	0.0
2019	12	10	0.0
2019	12	9	5.7
2019	12	8	25.2
2019	12	7	56.1
2019	12	6	0.0
2019	12	5	0.0
2019	12	4	5.8
2019	12	3	41.0
2019	12	2	25.2
2019	12	1	28.5
2019	11	30	5.2
2019	11	29	36.5
2019	11	28	0.0
2019	11	27	0.0
2019	11	26	0.0
2019	11	25	1.9
2019	11	24	2.0
2019	11	23	0.0
2019	11	22	4.2
2019	11	21	3.5
2019	11	20	80.0
2019	11	19	0.4
2019	11	18	0.0
2019	11	17	0.5
2019	11	16	5.9
2019	11	15	6.3
2019	11	14	0.8
2019	11	13	0.0
2019	11	12	0.0
2019	11	11	0.0
2019	11	10	0.0
2019	11	9	0.0
2019	11	8	0.0
2019	11	7	0.0
2019	11	6	0.0
2019	11	5	0.0
2019	11	4	0.0
2019	11	3	0.8
2019	11	2	16.7
2019	11	1	0.0
2019	10	31	0.0
2019	10	30	0.0
2019	10	29	0.0
2019	10	28	0.0
2019	10	27	0.8
2019	10	26	0.0
2019	10	25	0.0
