ds	y	chuva1	vazao1	chuva2	vazao2	chuva3	vazao3	chuva4	vazao4	chuva5	vazao5	chuva6	vazao6
2023-01-31	316.521	0.0	189.125625	0.0	175.32208333333332	0.0	83.08291666666666	0.0	271.29555555555555	0.0	266.80391304347825	0.0	
2023-01-30	362.965	0.0	227.691875	0.0	206.66166666666663	0.2	81.67916666666666	0.0	228.86882352941177	0.0	299.07041666666663	0.0	
2023-01-29	424.853	0.0	242.20822916666668	0.0	216.5920833333333	0.0	93.84041666666668	0.0	190.82	0.0	321.5083333333333	0.0	
2023-01-28	520.591	0.0	263.5698958333333	0.0	244.3108333333333	0.0	111.37083333333334	0.0	243.2425	2.6	387.51625	0.0	
2023-01-27	648.94	0.8	388.40270833333335	0.8	369.8733333333333	2.4	120.20291666666668	0.0	311.91526315789474	0.0	565.1995833333334	0.2	
2023-01-26	749.032	1.0	467.1179166666666	0.0	439.1508333333333	0.2	129.64916666666667	0.0	377.05	1.2	672.5616666666666	0.0	
2023-01-25	472.934	54.4	387.9936263736264	23.6	336.1395652173913	38.4	122.41228571428572	0.0	254.03585347956272	11.6	470.89666666666665	3.6	
2023-01-24	376.64	4.2	206.9105376344086	2.6	189.4808333333333	3.8	101.15229166666666	0.0	254.03585347956272	5.2	267.287027027027	12.2	
2023-01-23	422.803	0.2	241.59322916666667	1.0	225.89791666666667	0.0	145.685	0.0	254.03585347956272	0.2	326.02458333333334	46.2	
2023-01-22	370.758	2.8	235.19902173913044	3.6	207.1375	2.6	114.65791666666668	0.0	254.03585347956272	1.0	292.2916666666667	1.6	
2023-01-21	376.64	13.4	192.94956521739127	18.4	175.1233333333333	18.4	143.92895833333333	0.0	254.03585347956272	14.2	284.298125	27.8	
2023-01-20	445.536	9.4	195.02739130434784	0.2	183.2425	5.2	134.53851063829785	0.0	254.03585347956272	4.0	304.79062500000003	17.0	
2023-01-19	295.5	21.6	202.21479166666663	5.8	175.7125	28.8	110.96902439024387	0.0	254.03585347956272	9.6	245.0354166666667	13.6	
2023-01-18	277.636	0.0	162.2184375	0.0	152.2808695652174	0.0	77.38541666666667	0.0	254.03585347956272	0.0	192.59979166666668	0.0	
2023-01-17	281.178	0.0	168.62145833333332	0.0	160.64625	0.0	83.038125	0.0	254.03585347956272	0.0	201.30854166666663	3.8	
2023-01-16	334.265	0.0	191.63510416666668	0.0	180.35041666666663	0.0	90.699375	0.0	254.03585347956272	0.0	252.58354166666663	0.0	
2023-01-15	407.545	0.0	222.4780208333333	0.0	215.98	0.0	101.450625	0.0	254.03585347956272	0.0	297.7333333333333	0.0	
2023-01-14	547.255	0.0	298.1791304347826	0.6000000000000001	301.975	0.2	115.54770833333332	0.0	254.03585347956272	3.0	398.48354166666667	0.2	
2023-01-13	668.073	0.0	407.2026436781609	0.0	405.7154166666666	0.0	135.9275	0.0	254.03585347956272	0.0	559.8247916666667	0.0	
2023-01-12	867.187	0.4	431.6243181818182	4.2	449.10791666666665	0.2	191.7458333333333	0.0	254.03585347956272	2.6	759.3383333333333	31.6	
2023-01-11	1066.792	12.4	510.3068181818182	0.6	486.7425	27.6	183.89657894736845	0.0	254.03585347956272	1.8	833.350625	0.0	
2023-01-10	1019.022	64.6	491.2068235294118	69.8	470.3281818181818	30.0	174.4709090909091	0.0	254.03585347956272	18.6	953.9902083333332	7.6	
2023-01-09	1177.956	3.2	513.6643181818182	19.0	456.00947368421055	7.2	199.10764705882352	0.0	254.03585347956272	8.4	943.2191666666666	10.0	
2023-01-08	1100.972	45.0	589.7356249999999	36.4	518.7833333333333	27.6	185.158	0.0	254.03585347956272	20.6	1171.5466666666666	70.6	
