Data;Vazões
16/11/15;3,262
17/11/15;3,462
18/11/15;3,53
19/11/15;3,395
20/11/15;3,951
21/11/15;6,043
22/11/15;6,495
23/11/15;6,587
24/11/15;9,434
25/11/15;5,779
26/11/15;5,269
27/11/15;4,862
28/11/15;4,395
29/11/15;5,521
30/11/15;28,728
01/12/15;11,774
02/12/15;7,546
03/12/15;6,312
04/12/15;5,779
05/12/15;6,221
06/12/15;8,781
07/12/15;19,519
08/12/15;11,651
09/12/15;8,359
10/12/15;9,323
11/12/15;6,68
12/12/15;6,221
13/12/15;9,214
14/12/15;8,781
15/12/15;8,359
16/12/15;8,569
17/12/15;7,155
18/12/15;8,359
19/12/15;11,651
20/12/15;12,91
21/12/15;8,464
22/12/15;7,349
23/12/15;8,781
24/12/15;7,546
25/12/15;6,963
26/12/15;7,447
27/12/15;7,948
28/12/15;12,525
29/12/15;8,152
30/12/15;6,774
31/12/15;6,132
01/01/16;6,043
02/01/16;12,272
03/01/16;22,735
04/01/16;15,904
05/01/16;9,768
06/01/16;8,255
07/01/16;7,447
08/01/16;6,963
09/01/16;6,495
10/01/16;9,545
11/01/16;11,045
12/01/16;9,768
13/01/16;11,774
14/01/16;20,969
15/01/16;27,458
16/01/16;28,806
17/01/16;15,903
18/01/16;12,236
19/01/16;10,88
20/01/16;10,524
21/01/16;11,12
22/01/16;9,491
23/01/16;9,716
24/01/16;8,644
25/01/16;8,415
26/01/16;8,339
27/01/16;7,587
28/01/16;8,263
29/01/16;7,662
30/01/16;7,29
31/01/16;6,849
01/02/16;6,63
02/02/16;6,485
03/02/16;6,34
04/02/16;6,196
05/02/16;6,196
06/02/16;6,053
07/02/16;6,703
08/02/16;6,703
09/02/16;5,839
10/02/16;5,911
11/02/16;6,268
12/02/16;9,829
13/02/16;6,63
14/02/16;5,911
15/02/16;5,769
16/02/16;14,351
17/02/16;16,635
18/02/16;11,486
19/02/16;8,95
20/02/16;9,181
21/02/16;11
22/02/16;9,336
23/02/16;7,736
24/02/16;7,587
25/02/16;9,336
26/02/16;7,662
27/02/16;7,513
28/02/16;7,811
29/02/16;13,405
01/03/16;16,34
02/03/16;17,232
03/03/16;11,733
04/03/16;10,058
05/03/16;13,538
06/03/16;10,642
07/03/16;15,047
08/03/16;10,173
09/03/16;9,181
10/03/16;8,567
11/03/16;10,88
12/03/16;9,027
13/03/16;9,181
14/03/16;8,873
15/03/16;8,188
16/03/16;8,112
17/03/16;8,339
18/03/16;8,188
19/03/16;7,513
20/03/16;7,364
21/03/16;7,216
22/03/16;7,069
23/03/16;7,069
24/03/16;7,662
25/03/16;7,216
26/03/16;8,112
27/03/16;7,216
28/03/16;7,069
29/03/16;7,069
30/03/16;6,849
31/03/16;6,63
01/04/16;6,485
02/04/16;6,485
03/04/16;6,268
04/04/16;6,196
05/04/16;6,053
06/04/16;6,053
07/04/16;6,053
08/04/16;5,839
09/04/16;5,769
10/04/16;5,769
11/04/16;5,769
12/04/16;5,769
13/04/16;5,698
14/04/16;5,627
15/04/16;5,486
16/04/16;5,486
17/04/16;5,346
18/04/16;5,207
19/04/16;5,207
20/04/16;5,207
21/04/16;5,207
22/04/16;5,069
23/04/16;5,069
24/04/16;4,931
25/04/16;4,931
26/04/16;4,931
27/04/16;5,277
28/04/16;5,069
29/04/16;5,416
30/04/16;5,416
01/05/16;5,069
02/05/16;4,931
03/05/16;4,931
04/05/16;4,793
05/05/16;4,793
06/05/16;4,793
07/05/16;4,725
08/05/16;4,657
09/05/16;4,657
10/05/16;4,657
11/05/16;4,657
12/05/16;4,521
13/05/16;4,657
14/05/16;4,862
15/05/16;4,657
16/05/16;4,521
17/05/16;4,589
18/05/16;5,839
19/05/16;5,982
20/05/16;5,207
21/05/16;5,627
22/05/16;5,277
23/05/16;5,557
24/05/16;6,34
25/05/16;5,207
26/05/16;4,862
27/05/16;4,657
28/05/16;4,521
29/05/16;4,521
30/05/16;4,386
31/05/16;5,769
01/06/16;4,657
02/06/16;5,839
03/06/16;5,346
04/06/16;5,416
05/06/16;20,541
06/06/16;14,214
07/06/16;30,385
08/06/16;12,236
09/06/16;7,886
10/06/16;6,922
11/06/16;6,34
12/06/16;6,053
13/06/16;5,698
14/06/16;5,557
15/06/16;5,486
16/06/16;5,277
17/06/16;5,207
18/06/16;5,069
19/06/16;5,069
20/06/16;5,069
21/06/16;5,069
22/06/16;5,416
23/06/16;5,069
24/06/16;4,931
25/06/16;4,793
26/06/16;4,793
27/06/16;4,657
